round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 10.025933, 1, 4.405000, 1.366935, 18446744073709551615, 0001111010100100110110010011001001100101101010100001000101000111111111001110010110110111001001001100
0, 1, 9.894990, 1, 3.695000, 1.215444, 18446744073709551615, 0100001000110100101001010101101010101111010000100100101010011111110111010100111101110111111011010011
0, 2, 9.620876, 1, 3.755000, 1.153975, 18446744073709551615, 1110011101111111001011100100110111010111111000011100010111010100100110110100110100101001110110000001
0, 3, 10.177654, 1, 4.960000, 1.542384, 18446744073709551615, 1011110100101001000100011110011100101100111111000010111010011101111110000101100100111100001010110011
0, 4, 10.304264, 1, 5.185000, 1.541932, 18446744073709551615, 1000100011011110000001000110110001110011000111101111100111111111110100101010111111101100111101001100
0, 5, 10.245152, 1, 6.030000, 1.525490, 18446744073709551615, 0010111010000010011010100011001111000101110010110000011001101000001011000110100111011101001000000000
0, 6, 9.983127, 1, 4.585000, 1.552552, 18446744073709551615, 0010001011000110101101100111000001001110001011000010001000010010010111110101000010110000001111001000
0, 7, 9.941075, 1, 3.910000, 1.139019, 18446744073709551615, 1100111000011001111110111100011101001011101010000011111111000000101100000101100101010000101111110110
0, 8, 10.194393, 1, 6.165000, 1.647702, 18446744073709551615, 1111101100101001101010001101111111011100111010111111001011110101011000010000001001000100111001001111
0, 9, 10.106425, 1, 3.285000, 0.955862, 18446744073709551615, 1000000001010100111100100100000010100010110010111010101110001100000100100111101100011000010101011010
0, 10, 10.154000, 1, 4.015000, 1.223575, 18446744073709551615, 0100110110100101111101101110011111011101111110000011000001011111011011110110011011010111011000100110
0, 11, 10.322613, 1, 3.920000, 1.309935, 18446744073709551615, 1011011100110101011110110101111100001100110111101111000110011011110010111110111110011110111000111011
0, 12, 10.108889, 1, 3.525000, 1.115119, 18446744073709551615, 0001011101001100000011111010111001001110001000101100000010010010111000101110101010100110001001011100
0, 13, 10.037441, 1, 4.190000, 1.228339, 18446744073709551615, 0100101010101111101001100011000001100100101110110000011000010110100011001001000000100010000010011100
0, 14, 10.491898, 1, 4.140000, 1.299005, 18446744073709551615, 0110101011010011101000111000111100011100010000001111011101001101101100110000100001101110110110010110
0, 15, 10.109742, 1, 4.005000, 1.154575, 18446744073709551615, 1101101100001000010101111111000100010100000011000110111111100101001100001110111011101000010000011010
0, 16, 9.805684, 1, 3.435000, 1.187782, 18446744073709551615, 1110111101100100000100011011010100101111100000100111111100111010100111001010110010010011111100001110
0, 17, 9.550173, 1, 3.845000, 1.233136, 18446744073709551615, 0110101111011100100111001110000110100111100111110111000100100001010100111110001100010111101010111100
0, 18, 9.613170, 1, 3.595000, 1.181735, 18446744073709551615, 1000000000010011011010110011011010101010000000001001101101110001111101000100100100111011001110001010
0, 19, 9.840877, 1, 3.865000, 1.307392, 18446744073709551615, 1001101000010011101010001101110000001001111011001011000100111010110001101001101111110000100100000110
0, 20, 10.065703, 1, 3.700000, 1.063099, 18446744073709551615, 1110110111100101101100111101001010001101000101010110011010000010110110111010000110001110000000001010
0, 21, 10.266128, 1, 3.955000, 1.306554, 18446744073709551615, 0001101110101011001011001100101101000000001000100110000010100101110111001001010010111011100111000011
0, 22, 10.514127, 1, 3.625000, 1.132969, 18446744073709551615, 0010110011010010110010001110000001000010001001100000010111010001111000101011110100010011100100101110
0, 23, 9.749148, 1, 4.425000, 1.118568, 18446744073709551615, 0010010111001111010001100101001010100010001000000001001101010111011010110111010100101101000011010100
0, 24, 10.174422, 1, 4.250000, 1.136875, 18446744073709551615, 0000110010011001111000010000100111110011100010101011010101010110000101110001000011100100101100100000
0, 25, 10.324733, 1, 4.220000, 1.403516, 18446744073709551615, 0111111111101000100111011100101000111001011011001111101010011011011011110000100100111001111101001110
0, 26, 9.814106, 1, 3.980000, 1.461196, 18446744073709551615, 1000111111010010110111011101001111001110101011101101010011101000000101001100001101011110001110100100
0, 27, 10.413029, 1, 3.725000, 1.070618, 18446744073709551615, 0110100111110010000001010111000110001100110110100110100010101110100100110101111110111101110010001010
0, 28, 10.181396, 1, 4.610000, 1.295379, 18446744073709551615, 0110110111000000101001010101011101110000001011101000111000101110100011111111101111110110000110101010
0, 29, 10.278637, 1, 4.250000, 1.346875, 18446744073709551615, 1100101001010101001110101101001000111110111010010100000000111100111000110100110101001111000000010101
0, 30, 9.742323, 1, 4.410000, 1.317420, 18446744073709551615, 0111111100100111111101110100100101100011001000010000010011110011101111001000111101110011110011110001
0, 31, 10.262758, 1, 4.660000, 1.387242, 18446744073709551615, 1010000000010010100001011110010111101111010010100110000010100011100101010110000100111011010111001011
0, 32, 10.353572, 1, 3.350000, 0.945275, 18446744073709551615, 0011001101110000000010011000000001110001000101100000100001100111011111000011000010111101011100110100
0, 33, 9.993088, 1, 4.445000, 1.329397, 18446744073709551615, 0100000100110100100101111001001111001110100100000011110010101101001101010001110101111011001100111001
0, 34, 10.341823, 1, 5.050000, 1.422475, 18446744073709551615, 0100000100110101101000010010110100110100000000010101000001000101110011001110100010000010110111000111
0, 35, 10.163813, 1, 3.465000, 1.018714, 18446744073709551615, 0001000010011010000001101011100100010000000111000001001100111000010111100110110101110111001101111001
0, 36, 9.609042, 1, 3.785000, 1.245512, 18446744073709551615, 0110011001000010111010100000110110001111001101111010001111101110011100110000100000101101110100101010
