round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.941880, 1, 3.456000, 0.881408, 18446744073709551615, 1101110101011111010110001110011111010001110110011110100100101001101001010100000000100100000101110100
0, 1, 9.931520, 1, 3.688000, 1.024225, 18446744073709551615, 0010011000010110111111100010001000101011011101000101100010000000001001100001110000001001111011101101
0, 2, 10.072271, 1, 3.856000, 1.054414, 18446744073709551615, 0101111101011001001000110101101111100111100011000011001011011010010000110100101100011001101010001100
0, 3, 10.446132, 1, 3.620000, 0.913094, 18446744073709551615, 0000111001011011100111110011100001110010101111001110001101100001100010000110110111001011110111100001
0, 4, 9.402637, 1, 3.576000, 0.961318, 18446744073709551615, 1011100101001101101010111110001000100110000001000110101001001101111101010110110111100001010011001001
0, 5, 10.151681, 1, 3.724000, 1.122986, 18446744073709551615, 0010110000110101000010100010110001111010110100111001001110100001010001100010111111010110010110000010
0, 6, 9.269642, 1, 3.940000, 0.979834, 18446744073709551615, 1011100100001001011011011110111110010100001001011111100010011011101101111110110011110011111110001110
0, 7, 10.180508, 1, 4.568000, 1.192577, 18446744073709551615, 1111010000110000110101111101101001010100110000011010111100010010100111111100001111100010011110000000
0, 8, 9.963558, 1, 0.000000, 0.000000, 18446744073709551615, 0110000111111111000011010111011000111101011000010001010000111000011000111111001010111001100110101100
0, 9, 9.707686, 1, 3.712000, 1.154363, 18446744073709551615, 1010011110110100100000100110100011011001110111001111011001010000111111010111000110110101000101000001
0, 10, 10.070403, 1, 4.280000, 1.129959, 18446744073709551615, 0001100010110011100101000101000011011101011001101011111101101100100000000010001110101100101101110110
0, 11, 10.168320, 1, 3.468000, 1.048327, 18446744073709551615, 0100111111100000001000110010111000100100011101001110001110010010011100001110101101111111101110011100
0, 12, 10.001019, 1, 4.628000, 1.247575, 18446744073709551615, 0110100110100100110100111111110110001110011011000000111100010110110000101001010101101000011100101000
0, 13, 10.185459, 1, 3.312000, 0.871392, 18446744073709551615, 1011110111111010101100001000111000111111000111110110010001100000011000101000010111000110101011000100
0, 14, 9.845903, 1, 4.244000, 1.200187, 18446744073709551615, 1110111001010001100010001111101111001110000000101010110001100011110110111000101011111000110000010010
0, 15, 10.220677, 1, 3.796000, 1.040553, 18446744073709551615, 0000100101011101100110001110010110000110000000101001001101011011000101110110010001000111110010101010
0, 16, 9.942400, 1, 3.956000, 1.050465, 18446744073709551615, 0010111011001111100001011101101111111010111010101111110111000100111011101001110111110111000110011000
0, 17, 9.105425, 1, 3.784000, 0.937697, 18446744073709551615, 0000111100011110101001001100001011001010110010101110011000001100000001010110001011111001111111101011
0, 18, 10.169621, 1, 4.088000, 1.071175, 18446744073709551615, 0000000100011110001011100000010011001100011111101000111010010010111000110101111101001110101010110001
0, 19, 9.836984, 1, 3.452000, 0.929705, 18446744073709551615, 1100110101000100100001110010011100001100101100010101010001000110010011011100110000001010101000100010
0, 20, 9.812977, 1, 3.716000, 0.959936, 18446744073709551615, 1001011111110011110000000011111010001110111111110001000000111010110001010011111010001001100000110000
0, 21, 9.865352, 1, 3.720000, 1.101478, 18446744073709551615, 0010011010100111001000111010001111110010000001000100111000000110111111101111110000110011111101010010
0, 22, 10.142168, 1, 3.760000, 1.027098, 18446744073709551615, 1111100101000111101001110011000111100101110111101111110110011001000111101110101100001000011011010101
0, 23, 9.844194, 1, 3.812000, 0.987904, 18446744073709551615, 0011101001010101110011100111100101000101110000101001000010111100101000011001010100101110100111001011
0, 24, 9.836463, 1, 3.676000, 0.974712, 18446744073709551615, 1111111110010100000110110001110011011000000000010000101011010100000111100010101001100111000110110010
0, 25, 10.481974, 1, 3.564000, 1.005054, 18446744073709551615, 1111110011101001111110001011111001010000000001010101011100011110011000011101010011011000100111010110
0, 26, 10.199967, 1, 3.644000, 1.030575, 18446744073709551615, 1000101000110100101011001101001001110100110100111011001110111000100101001101010001001000111110001010
0, 27, 9.680490, 1, 3.744000, 0.918044, 18446744073709551615, 1010100001000111111111100110001001011110000000000100100101001110011000000110010100010011100001111100
0, 28, 9.769437, 1, 3.428000, 1.010787, 18446744073709551615, 0100001000111111000111100011011110001010110000111110111001111011100110010111000111010000110001111100
0, 29, 9.839998, 1, 3.964000, 1.137585, 18446744073709551615, 0001000011010101011010001010101011100111100110101100111000010011010011001000001110101111001011111000
0, 30, 10.262461, 1, 4.608000, 1.112730, 18446744073709551615, 0101011110010110101110001001010000010010111101110100101000110011110011001100001010001001011001111100
0, 31, 9.336045, 1, 0.000000, 0.000000, 18446744073709551615, 1000001100110001101100101001110010111000010010001011001100101110100011110111010111111111100010011000
0, 32, 9.802292, 1, 3.380000, 0.913414, 18446744073709551615, 0000100001110101101011111000011010101110011101100010111010001001011101000010111000001100000000100010
0, 33, 9.878981, 1, 3.960000, 1.118042, 18446744073709551615, 0111000010110000010010101001001110111101001010100001011110001010100011001101011010111010101110000011
0, 34, 10.622210, 1, 3.780000, 1.076679, 18446744073709551615, 0111000011000000100010011101001001110100000110001011101110000000010000110010101001111101111011010111
0, 35, 10.403762, 1, 4.004000, 1.195216, 18446744073709551615, 0100101100100110110010010001000000000111010011100110111111011011001110110111001001111100100110101010
0, 36, 10.100713, 1, 3.456000, 1.001408, 18446744073709551615, 0111111110010001010111101001111110100110101000110000001111010001000001010100100101111011100010001111
0, 37, 10.285588, 1, 3.856000, 1.110415, 18446744073709551615, 0100011101101001100111001011110011001100110011001010111010001011100100011100100100011110100100001011
0, 38, 9.620541, 1, 3.512000, 0.969837, 18446744073709551615, 0110011101111110110011100111100100100110111000010100111010110111101110001011111001001011111010010000
0, 39, 10.305482, 1, 3.700000, 1.041440, 18446744073709551615, 0110010110111111011101001001101111001110111101010010000001110000101100110000101001111011010110010011
0, 40, 10.133137, 1, 4.212000, 1.093272, 18446744073709551615, 1100011111000010001110010110101110001010011100100110011001110110001101100001010101010010110111000111
0, 41, 10.705029, 1, 3.332000, 0.963325, 18446744073709551615, 0100000010011010000000101101111110110101001110110101001000000001101000100110111100011101010110011000
0, 42, 9.982207, 1, 3.548000, 0.945577, 18446744073709551615, 0100011010000001101110011000011101011100111001010010000101110101000111000011110001101111001100001011
0, 43, 10.277576, 1, 3.812000, 0.891904, 18446744073709551615, 1000101101101001111000010000101100011101011111011110010001110110100110111011100001001000001101100011
0, 44, 9.848780, 1, 0.000000, 0.000000, 18446744073709551615, 0100010001111111001100100100110000101011011000011110001010001011110101111001000100010001100111111001
0, 45, 10.265253, 1, 3.780000, 1.108679, 18446744073709551615, 1000011011010101100000010010100001100111110011100000001111010001010100000011101101010011011101011010
0, 46, 10.052919, 1, 3.500000, 0.956000, 18446744073709551615, 0001101011101110011001111011100100010111011111100001110110000010101010001110100100111110010000011100
0, 47, 9.583710, 1, 4.400000, 1.151360, 18446744073709551615, 1100110111011001011001111010011101101011000111000111100001010001000100010101110101101000010100101101
0, 48, 10.626778, 1, 3.880000, 1.136294, 18446744073709551615, 1101010101111110110001110011110010010101110000110110001000001011001111001010000001001001001010010100
0, 49, 9.818713, 1, 3.852000, 1.105987, 18446744073709551615, 0110010011100110100101010011111010011000111101000110110001000011101000100100110111101001100100010011
0, 50, 9.692834, 1, 3.572000, 0.970595, 18446744073709551615, 0100101000110111011010011100111100110110001101010110111101111111110000101110101010100010100001001100
0, 51, 10.051538, 1, 4.276000, 1.113002, 18446744073709551615, 1011100111001000011011100110110001100100001001001100111110001001010011011010100100111011010001011100
