round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 10.484371, 1, 4.668000, 1.073974, 18446744073709551615, 0001100011000100000100001101000010101011111001000111001101011110001010100110110010010100011001001100
0, 1, 10.263010, 1, 4.144000, 1.267808, 18446744073709551615, 0010111101010111101000100101101100001011001110010111100100010011000011010111001001000100101010010000
0, 2, 10.546369, 1, 3.416000, 0.897561, 18446744073709551615, 1000001100110101010110011010000100100100110011011000000001110100001100111111010001000000000111100110
0, 3, 10.221311, 1, 4.744000, 1.300353, 18446744073709551615, 0110000000010000111010110011110111001111001100001001000110011001111000000010010110100000101101101010
0, 4, 10.387746, 1, 3.824000, 1.044564, 18446744073709551615, 1010110111010001100001100110000101010000000110100011001011001111000001010010100100001101011111000010
0, 5, 9.754143, 1, 3.784000, 1.114972, 18446744073709551615, 0010110100011111010011100111000100100110101001110110101101100101001101001111100000010101001100001100
0, 6, 9.839014, 1, 5.140000, 1.232007, 18446744073709551615, 0010001001111111100011110001001010011110111011011010110010001111001010100011100100110011100100100111
0, 7, 10.222794, 1, 4.808000, 1.060799, 18446744073709551615, 0010101100100010110101101111101011001110111101110101000101110111100000111101001000001101011110100011
0, 8, 10.411771, 1, 3.552000, 1.058962, 18446744073709551615, 0001110100100010111111101101101111110000110000000000100110001100000110000011011101110010011001000111
0, 9, 10.001453, 1, 3.336000, 0.968528, 18446744073709551615, 1000100010010000000010111110000000011011100011100001000111110110110111110111101011000101000000010100
0, 10, 10.017055, 1, 4.008000, 0.990655, 18446744073709551615, 1110001011101000000101110110011011011100010110101011011100001011000100101000011001001101110101011100
0, 11, 9.756799, 1, 3.748000, 1.043548, 18446744073709551615, 0010011101010000001110111000010101000001110110011100101111010011010011000011110001010010101101011010
0, 12, 9.310048, 1, 4.196000, 1.005458, 18446744073709551615, 0101010010101100000010110000000110100101010000110100100010110000000101101010100011111000000101010100
0, 13, 9.840333, 1, 4.172000, 1.186303, 18446744073709551615, 1000000110110011011100110111000001010011010110100100110100100000111101010100001100000010010010010100
