round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.370634, 0, 4.515000, 1.133998, 18446744073709551615, 1001111100110111010100100110000111011100100001111111101110101010011001100100000111101110110110110001
0, 1, 9.753690, 0, 4.050000, 1.061462, 18446744073709551615, 0100001100101101100100011011000111001000000000001000111101011101001011101000100100101100101100100100
0, 2, 10.291140, 0, 3.310000, 0.979559, 18446744073709551615, 0110111111000110011101010000011100000101010111000101011111101001111000110101110110101101001111000011
0, 3, 9.875789, 0, 2.985000, 0.871122, 18446744073709551615, 1000011000010011101100010011110001110010101010011101111011101110111011011110110010001011001100110100
0, 4, 10.057944, 0, 3.090000, 0.958678, 18446744073709551615, 1111011101010111111011110110000110011110101100110000011110011110111111100000010100100111011100010010
0, 5, 9.773637, 0, 4.145000, 1.186259, 18446744073709551615, 0010010100001100010011010000111000101100010110111101001101101001011101001111111100110011000010000000
0, 6, 10.319421, 0, 5.290000, 1.616140, 18446744073709551615, 1001111000110010010100110001100100100111100001110011100110110001110011111101001010001011000001100101
0, 7, 10.049337, 0, 3.760000, 1.110336, 18446744073709551615, 1101111110001001010101000100101001100100011111000100010000100010000010010101110111110101011010011001
0, 8, 10.210626, 0, 3.800000, 1.213399, 18446744073709551615, 1001101111010010000000001001100111101111110000010010000000011000000110000011100101001101110110101001
0, 9, 9.953456, 0, 3.335000, 1.015944, 18446744073709551615, 1001110000111101011000001101101100001100100101010001011100010100011111010010100000010011111100110011
0, 10, 10.192612, 0, 3.185000, 0.958612, 18446744073709551615, 0100100000110000100001010110001111101001110101001101110001110010110011101111010011100001010111011011
0, 11, 10.232600, 0, 4.380000, 1.047834, 18446744073709551615, 0100000011001100011000001011001101111001100100000100010001101001100100010110011100000111101101110010
0, 12, 9.807943, 0, 3.510000, 1.075098, 18446744073709551615, 0101100100111111001011001111011001111001110101011010101111000001011101010011010101110110011010000011
0, 13, 10.359799, 0, 4.200000, 1.145399, 18446744073709551615, 1011011101000000000011001000110101101010101010000111001001100010100000011001010100111100100011010101
0, 14, 9.810623, 0, 3.535000, 1.041332, 18446744073709551615, 0000001101001100001011101000111111110101111001000000011011100110001001101110010110101101101111110011
0, 15, 10.197780, 0, 3.885000, 1.375377, 18446744073709551615, 1010011110111011100110100111001101101010100000010011110101000101100000001011111010110000111010101100
0, 16, 10.336566, 0, 4.270000, 1.103607, 18446744073709551615, 1111000000010110111011100110011011001111100000011011100110011000001011100110011010010001100101100010
0, 17, 9.771030, 0, 3.215000, 1.013731, 18446744073709551615, 0101011011100010001101001000101101010001110100100110001001010010100000110110001100000000010111101000
0, 18, 9.855069, 0, 4.205000, 1.347744, 18446744073709551615, 1110111001010000110010100010110110100011001011100011110000011000111100111100001101010010110101101001
0, 19, 10.016026, 0, 3.530000, 1.132187, 18446744073709551615, 1001111001010010100101010111010101011001001101001011110000001100100100000110011101110001100101011010
0, 20, 9.771737, 0, 3.955000, 1.278344, 18446744073709551615, 0100100111010001101011011000100110100100101111011011110010001001111100100101111000100000101010011010
0, 21, 9.748816, 0, 3.400000, 0.926601, 18446744073709551615, 0011001000101111010100010010100001010111000000010101010000101110001001000110100000001010000100110101
0, 22, 9.669622, 0, 3.735000, 1.255520, 18446744073709551615, 1100101001110001000111000100111000101000000011011110010100010011011010110110100010100011010001111000
0, 23, 10.346113, 0, 3.670000, 1.119067, 18446744073709551615, 0111000101000000111011101010010100100010110010000111100001001000111110010101110101011000110011101111
0, 24, 9.836888, 0, 3.690000, 1.109658, 18446744073709551615, 0110111010011011010000000011000000000111110010001001110101010011111110110010011110010000101101001100
0, 25, 9.999651, 0, 3.895000, 1.186411, 18446744073709551615, 0110110001000011010111000010010011111001000110000000001111011111000010000111001011101000100111111000
0, 26, 9.422554, 0, 3.610000, 1.192418, 18446744073709551615, 1010010111000000000110100000001011110101110110101110000110110100000101010011110101100101110101001001
0, 27, 10.473673, 0, 3.440000, 1.198896, 18446744073709551615, 1111110000000001010110001100100010011000000101100010001111001011011011111100111000001010011111100100
0, 28, 10.013094, 0, 3.520000, 1.043743, 18446744073709551615, 1110001000000101110111000000101001011101011011110010100000111011001011011011011110111000010111111100
0, 29, 10.201958, 0, 4.105000, 1.061211, 18446744073709551615, 0110011001111100101110111000111110000001110011110110001100000011111011001101111101011010000110001000
0, 30, 9.794013, 0, 3.575000, 1.122665, 18446744073709551615, 0001011001111111100100101011110000011010010100111011100000101001000000001100010110000110110111011111
0, 31, 10.299000, 0, 3.680000, 0.944465, 18446744073709551615, 0001001011000110111010110101010100000100111110111001110101111001111001110111111111111001110001101100
0, 32, 9.881841, 0, 3.525000, 0.962991, 18446744073709551615, 0000011000010110111011100000000011111101001000110100111001110111111111001111100010100001011100101000
0, 33, 9.788136, 0, 4.230000, 1.128707, 18446744073709551615, 0111100110111110001011111001110111011000101001001001010101111100111011100101011100001100001101111100
