iteration,round, vertex1, vertex2, old_weight, new_weight, accepted
0,0, 1, 0, 0.000000, 0.000000, 1
1,0, 2, 0, 0.000000, 0.000000, 1
2,0, 2, 1, 0.000000, 0.000000, 1
3,0, 3, 0, 0.000000, 0.000000, 1
4,0, 3, 1, 0.000000, 0.000000, 1
5,0, 3, 2, 0.000000, 0.000000, 1
6,0, 4, 0, 0.000000, 0.000000, 1
7,0, 4, 1, 0.000000, 0.000000, 1
8,0, 4, 2, 0.000000, 0.000000, 1
9,0, 4, 3, 0.000000, 0.000000, 1
10,0, 5, 0, 0.000000, 0.400000, 1
11,0, 5, 1, 0.000000, 0.000000, 1
12,0, 5, 2, 0.000000, 0.000000, 1
13,0, 5, 3, 0.000000, 0.000000, 1
14,0, 5, 4, 0.000000, 0.000000, 1
15,0, 6, 0, 0.000000, 0.400000, 1
16,0, 6, 1, 0.000000, 0.400000, 1
17,0, 6, 2, 0.000000, 0.000000, 1
18,0, 6, 3, 0.000000, 0.000000, 1
19,0, 6, 4, 0.000000, 0.000000, 1
20,0, 6, 5, 0.000000, 0.000000, 1
21,0, 7, 0, 0.000000, 0.000000, 1
22,0, 7, 1, 0.000000, 0.200000, 1
23,0, 7, 2, 0.000000, 0.200000, 1
24,0, 7, 3, 0.000000, 0.000000, 1
25,0, 7, 4, 0.000000, 0.000000, 1
26,0, 7, 5, 0.000000, 0.000000, 1
27,0, 7, 6, 0.000000, 0.100000, 1
28,0, 8, 0, 0.000000, 0.000000, 1
29,0, 8, 1, 0.000000, 0.000000, 1
30,0, 8, 2, 0.000000, 0.000000, 1
31,0, 8, 3, 0.000000, 0.000000, 1
32,0, 8, 4, 0.000000, 0.000000, 1
33,0, 8, 5, 0.000000, 0.000000, 1
34,0, 8, 6, 0.000000, 0.300000, 1
35,0, 8, 7, 0.000000, 0.100000, 1
36,0, 9, 0, 0.000000, 0.000000, 1
37,0, 9, 1, 0.000000, 0.200000, 1
38,0, 9, 2, 0.000000, 0.000000, 1
39,0, 9, 3, 0.000000, 0.000000, 1
40,0, 9, 4, 0.000000, 0.000000, 1
41,0, 9, 5, 0.000000, 0.000000, 1
42,0, 9, 6, 0.000000, 0.300000, 1
43,0, 9, 7, 0.000000, 0.100000, 1
44,0, 9, 8, 0.000000, 0.000000, 1
45,0, 10, 0, 0.000000, 0.000000, 1
46,0, 10, 1, 0.000000, 0.000000, 1
47,0, 10, 2, 0.000000, 0.200000, 1
48,0, 10, 3, 0.000000, 0.000000, 1
49,0, 10, 4, 0.000000, 0.400000, 1
50,0, 10, 5, 0.000000, 0.000000, 1
51,0, 10, 6, 0.000000, 0.000000, 1
52,0, 10, 7, 0.000000, 0.000000, 1
53,0, 10, 8, 0.000000, 0.000000, 1
54,0, 10, 9, 0.000000, 0.000000, 1
55,0, 11, 0, 0.000000, 0.300000, 1
56,0, 11, 1, 0.000000, 0.000000, 1
57,0, 11, 2, 0.000000, 0.000000, 1
58,0, 11, 3, 0.000000, 0.400000, 1
59,0, 11, 4, 0.000000, 0.000000, 1
60,0, 11, 5, 0.000000, 0.000000, 1
61,0, 11, 6, 0.000000, 0.000000, 1
62,0, 11, 7, 0.000000, 0.000000, 1
63,0, 11, 8, 0.000000, 0.000000, 1
64,0, 11, 9, 0.000000, 0.000000, 1
65,0, 11, 10, 0.000000, 0.000000, 1
66,0, 12, 0, 0.000000, 0.000000, 1
67,0, 12, 1, 0.000000, 0.000000, 1
68,0, 12, 2, 0.000000, 0.400000, 1
69,0, 12, 3, 0.000000, 0.300000, 1
70,0, 12, 4, 0.000000, 0.000000, 1
71,0, 12, 5, 0.000000, 0.000000, 1
72,0, 12, 6, 0.000000, 0.200000, 1
73,0, 12, 7, 0.000000, 0.000000, 1
74,0, 12, 8, 0.000000, 0.000000, 1
75,0, 12, 9, 0.000000, 0.200000, 1
76,0, 12, 10, 0.000000, 0.000000, 1
77,0, 12, 11, 0.000000, 0.000000, 1
78,0, 13, 0, 0.000000, 0.400000, 1
79,0, 13, 1, 0.000000, 0.000000, 1
80,0, 13, 2, 0.000000, 0.000000, 1
81,0, 13, 3, 0.000000, 0.000000, 1
82,0, 13, 4, 0.000000, 0.400000, 1
83,0, 13, 5, 0.000000, 0.300000, 1
84,0, 13, 6, 0.000000, 0.000000, 1
85,0, 13, 7, 0.000000, 0.300000, 1
86,0, 13, 8, 0.000000, 0.000000, 1
87,0, 13, 9, 0.000000, 0.000000, 1
88,0, 13, 10, 0.000000, 0.000000, 1
89,0, 13, 11, 0.000000, 0.000000, 1
90,0, 13, 12, 0.000000, 0.000000, 1
91,0, 14, 0, 0.000000, 0.000000, 1
92,0, 14, 1, 0.000000, 0.000000, 1
93,0, 14, 2, 0.000000, 0.000000, 1
94,0, 14, 3, 0.000000, 0.200000, 1
95,0, 14, 4, 0.000000, 0.000000, 1
96,0, 14, 5, 0.000000, 0.000000, 1
97,0, 14, 6, 0.000000, 0.000000, 1
98,0, 14, 7, 0.000000, 0.000000, 1
99,0, 14, 8, 0.000000, 0.200000, 1
100,0, 14, 9, 0.000000, 0.100000, 1
101,0, 14, 10, 0.000000, 0.000000, 1
102,0, 14, 11, 0.000000, 0.000000, 1
103,0, 14, 12, 0.000000, 0.000000, 1
104,0, 14, 13, 0.000000, 0.100000, 1
105,0, 15, 0, 0.000000, 0.200000, 1
106,0, 15, 1, 0.000000, 0.000000, 1
107,0, 15, 2, 0.000000, 0.000000, 1
108,0, 15, 3, 0.000000, 0.000000, 1
109,0, 15, 4, 0.000000, 0.400000, 1
110,0, 15, 5, 0.000000, 0.000000, 1
111,0, 15, 6, 0.000000, 0.000000, 1
112,0, 15, 7, 0.000000, 0.000000, 1
113,0, 15, 8, 0.000000, 0.000000, 1
114,0, 15, 9, 0.000000, 0.000000, 1
115,0, 15, 10, 0.000000, 0.000000, 1
116,0, 15, 11, 0.000000, 0.000000, 1
117,0, 15, 12, 0.000000, 0.000000, 1
118,0, 15, 13, 0.000000, 0.400000, 1
119,0, 15, 14, 0.000000, 0.000000, 1
120,0, 16, 0, 0.000000, 0.000000, 1
121,0, 16, 1, 0.000000, 0.000000, 1
122,0, 16, 2, 0.000000, 0.000000, 1
123,0, 16, 3, 0.000000, 0.000000, 1
124,0, 16, 4, 0.000000, 0.000000, 1
125,0, 16, 5, 0.000000, 0.000000, 1
126,0, 16, 6, 0.000000, 0.000000, 1
127,0, 16, 7, 0.000000, 0.000000, 1
128,0, 16, 8, 0.000000, 0.000000, 1
129,0, 16, 9, 0.000000, 0.000000, 1
130,0, 16, 10, 0.000000, 0.000000, 1
131,0, 16, 11, 0.000000, 0.000000, 1
132,0, 16, 12, 0.000000, 0.000000, 1
133,0, 16, 13, 0.000000, 0.000000, 1
134,0, 16, 14, 0.000000, 0.000000, 1
135,0, 16, 15, 0.000000, 0.000000, 1
136,0, 17, 0, 0.000000, 0.000000, 1
137,0, 17, 1, 0.000000, 0.300000, 1
138,0, 17, 2, 0.000000, 0.000000, 1
139,0, 17, 3, 0.000000, 0.000000, 1
140,0, 17, 4, 0.000000, 0.000000, 1
141,0, 17, 5, 0.000000, 0.100000, 1
142,0, 17, 6, 0.000000, 0.000000, 1
143,0, 17, 7, 0.000000, 0.000000, 1
144,0, 17, 8, 0.000000, 0.300000, 1
145,0, 17, 9, 0.000000, 0.000000, 1
146,0, 17, 10, 0.000000, 0.400000, 1
147,0, 17, 11, 0.000000, 0.400000, 1
148,0, 17, 12, 0.000000, 0.000000, 1
149,0, 17, 13, 0.000000, 0.000000, 1
150,0, 17, 14, 0.000000, 0.400000, 1
151,0, 17, 15, 0.000000, 0.000000, 1
152,0, 17, 16, 0.000000, 0.000000, 1
153,0, 18, 0, 0.000000, 0.000000, 1
154,0, 18, 1, 0.000000, 0.000000, 1
155,0, 18, 2, 0.000000, 0.000000, 1
156,0, 18, 3, 0.000000, 0.000000, 1
157,0, 18, 4, 0.000000, 0.400000, 1
158,0, 18, 5, 0.000000, 0.300000, 1
159,0, 18, 6, 0.000000, 0.200000, 1
160,0, 18, 7, 0.000000, 0.000000, 1
161,0, 18, 8, 0.000000, 0.000000, 1
162,0, 18, 9, 0.000000, 0.000000, 1
163,0, 18, 10, 0.000000, 0.300000, 1
164,0, 18, 11, 0.000000, 0.000000, 1
165,0, 18, 12, 0.000000, 0.200000, 1
166,0, 18, 13, 0.000000, 0.000000, 1
167,0, 18, 14, 0.000000, 0.400000, 1
168,0, 18, 15, 0.000000, 0.000000, 1
169,0, 18, 16, 0.000000, 0.000000, 1
170,0, 18, 17, 0.000000, 0.100000, 1
171,0, 19, 0, 0.000000, 0.000000, 1
172,0, 19, 1, 0.000000, 0.400000, 1
173,0, 19, 2, 0.000000, 0.000000, 1
174,0, 19, 3, 0.000000, 0.000000, 1
175,0, 19, 4, 0.000000, 0.000000, 1
176,0, 19, 5, 0.000000, 0.000000, 1
177,0, 19, 6, 0.000000, 0.300000, 1
178,0, 19, 7, 0.000000, 0.300000, 1
179,0, 19, 8, 0.000000, 0.000000, 1
180,0, 19, 9, 0.000000, 0.000000, 1
181,0, 19, 10, 0.000000, 0.000000, 1
182,0, 19, 11, 0.000000, 0.000000, 1
183,0, 19, 12, 0.000000, 0.000000, 1
184,0, 19, 13, 0.000000, 0.000000, 1
185,0, 19, 14, 0.000000, 0.300000, 1
186,0, 19, 15, 0.000000, 0.000000, 1
187,0, 19, 16, 0.000000, 0.400000, 1
188,0, 19, 17, 0.000000, 0.200000, 1
189,0, 19, 18, 0.000000, 0.000000, 1
190,1, 7, 0, 0.000000, 0.760168, 1
191,1, 5, 1, 0.000000, 0.959238, 1
192,1, 7, 2, 0.200000, 0.732812, 1
193,1, 11, 3, 0.400000, 0.779618, 1
194,1, 10, 4, 0.400000, 1.019258, 1
195,1, 5, 1, 0.959238, 1.832511, 1
196,1, 6, 4, 0.000000, 0.132161, 1
197,1, 7, 0, 0.760168, 1.628247, 1
198,1, 14, 8, 0.200000, 0.943904, 1
199,1, 9, 7, 0.100000, 0.679604, 1
200,1, 10, 4, 1.019258, 1.672992, 1
201,1, 11, 10, 0.000000, 0.000000, 0
202,1, 12, 7, 0.000000, 0.556752, 1
203,1, 13, 6, 0.000000, 0.996700, 1
204,1, 14, 4, 0.000000, 0.203335, 1
205,1, 15, 0, 0.200000, 0.000000, 1
206,1, 16, 1, 0.000000, 0.275146, 1
207,1, 17, 8, 0.300000, 0.908959, 1
208,1, 18, 5, 0.300000, 0.871531, 1
209,1, 19, 6, 0.300000, 1.209260, 1
210,2, 18, 0, 0.000000, 0.564571, 1
211,2, 8, 1, 0.000000, 0.715186, 1
212,2, 7, 2, 0.732812, 1.300603, 1
213,2, 11, 3, 0.779618, 1.397092, 1
214,2, 13, 4, 0.400000, 1.252112, 1
215,2, 5, 4, 0.000000, 0.046176, 1
216,2, 6, 5, 0.000000, 0.951907, 1
217,2, 7, 0, 1.628247, 2.411197, 1
218,2, 8, 5, 0.000000, 0.909839, 1
219,2, 9, 3, 0.000000, 0.000000, 0
220,2, 10, 4, 1.672992, 2.355529, 1
221,2, 11, 5, 0.000000, 0.818282, 1
222,2, 12, 1, 0.000000, 0.796210, 1
223,2, 13, 10, 0.000000, 0.000000, 0
224,2, 14, 5, 0.000000, 0.746214, 1
225,2, 15, 4, 0.400000, 0.654607, 1
226,2, 16, 5, 0.000000, 0.471963, 1
227,2, 17, 8, 0.908959, 1.520747, 1
228,2, 18, 5, 0.871531, 1.202004, 1
229,2, 19, 6, 1.209260, 2.011989, 1
230,3, 4, 0, 0.000000, 0.000000, 0
231,3, 10, 1, 0.000000, 0.000000, 0
232,3, 7, 2, 1.300603, 1.804673, 1
233,3, 11, 3, 1.397092, 2.201600, 1
234,3, 13, 4, 1.252112, 2.131337, 1
235,3, 5, 3, 0.000000, 0.000000, 0
236,3, 11, 6, 0.000000, 0.879244, 1
237,3, 7, 0, 2.411197, 3.133816, 1
238,3, 11, 8, 0.000000, 0.908794, 1
239,3, 9, 3, 0.000000, 0.000000, 0
240,3, 10, 4, 2.355529, 3.026694, 1
241,3, 11, 4, 0.000000, 0.000000, 0
242,3, 12, 1, 0.796210, 1.494859, 1
243,3, 13, 10, 0.000000, 0.000000, 0
244,3, 14, 7, 0.000000, 0.492408, 1
245,3, 15, 4, 0.654607, 1.058062, 1
246,3, 16, 12, 0.000000, 0.629558, 1
247,3, 17, 8, 1.520747, 2.043473, 1
248,3, 18, 5, 1.202004, 1.476570, 1
249,3, 19, 6, 2.011989, 2.650217, 1
250,4, 4, 0, 0.000000, 0.000000, 0
251,4, 10, 1, 0.000000, 0.000000, 0
252,4, 7, 2, 1.804673, 2.226488, 1
253,4, 11, 3, 2.201600, 2.967976, 1
254,4, 13, 4, 2.131337, 2.953856, 1
255,4, 5, 3, 0.000000, 0.000000, 0
256,4, 6, 4, 0.132161, 0.738273, 1
257,4, 7, 0, 3.133816, 3.778722, 1
258,4, 8, 0, 0.000000, 0.838234, 1
259,4, 9, 3, 0.000000, 0.000000, 0
260,4, 10, 4, 3.026694, 3.687253, 1
261,4, 11, 4, 0.000000, 0.000000, 0
262,4, 13, 12, 0.000000, 0.894026, 1
263,4, 13, 10, 0.000000, 0.000000, 0
264,4, 14, 2, 0.000000, 0.000000, 0
265,4, 15, 4, 1.058062, 1.684412, 1
266,4, 16, 2, 0.000000, 0.000000, 0
267,4, 17, 8, 2.043473, 2.484655, 1
268,4, 18, 5, 1.476570, 1.704597, 1
269,4, 19, 6, 2.650217, 3.140953, 1
270,5, 4, 0, 0.000000, 0.000000, 0
271,5, 10, 1, 0.000000, 0.000000, 0
272,5, 7, 2, 2.226488, 2.598512, 1
273,5, 11, 3, 2.967976, 3.661816, 1
274,5, 13, 4, 2.953856, 3.690154, 1
275,5, 5, 3, 0.000000, 0.000000, 0
276,5, 15, 6, 0.000000, 0.000000, 0
277,5, 7, 0, 3.778722, 4.376596, 1
278,5, 8, 3, 0.000000, 0.000000, 0
279,5, 9, 3, 0.000000, 0.000000, 0
280,5, 10, 4, 3.687253, 4.337904, 1
281,5, 11, 4, 0.000000, 0.000000, 0
282,5, 14, 12, 0.000000, 0.904701, 1
283,5, 13, 10, 0.000000, 0.000000, 0
284,5, 14, 2, 0.000000, 0.000000, 0
285,5, 15, 4, 1.684412, 2.261783, 1
286,5, 16, 2, 0.000000, 0.000000, 0
287,5, 17, 8, 2.484655, 2.892838, 1
288,5, 18, 5, 1.704597, 1.893245, 1
289,5, 19, 6, 3.140953, 3.538191, 1
290,6, 4, 0, 0.000000, 0.000000, 0
291,6, 10, 1, 0.000000, 0.000000, 0
292,6, 7, 2, 2.598512, 2.925407, 1
293,6, 11, 3, 3.661816, 4.286784, 1
294,6, 13, 4, 3.690154, 4.373781, 1
295,6, 5, 3, 0.000000, 0.000000, 0
296,6, 15, 6, 0.000000, 0.000000, 0
297,6, 7, 0, 4.376596, 4.931875, 1
298,6, 8, 3, 0.000000, 0.000000, 0
299,6, 9, 3, 0.000000, 0.000000, 0
300,6, 10, 4, 4.337904, 4.969821, 1
301,6, 11, 4, 0.000000, 0.000000, 0
302,6, 12, 5, 0.000000, 0.861681, 1
303,6, 13, 10, 0.000000, 0.000000, 0
304,6, 14, 2, 0.000000, 0.000000, 0
305,6, 15, 4, 2.261783, 2.792123, 1
306,6, 16, 2, 0.000000, 0.000000, 0
307,6, 17, 8, 2.892838, 3.270232, 1
308,6, 18, 5, 1.893245, 2.040147, 1
309,6, 19, 6, 3.538191, 3.854749, 1
310,7, 4, 0, 0.000000, 0.000000, 0
311,7, 10, 1, 0.000000, 0.000000, 0
312,7, 7, 2, 2.925407, 3.211361, 1
313,7, 11, 3, 4.286784, 4.847281, 1
314,7, 13, 4, 4.373781, 5.009871, 1
315,7, 5, 2, 0.000000, 0.000000, 0
316,7, 15, 6, 0.000000, 0.000000, 0
317,7, 7, 0, 4.931875, 5.448540, 1
318,7, 8, 3, 0.000000, 0.000000, 0
319,7, 9, 3, 0.000000, 0.000000, 0
320,7, 10, 4, 4.969821, 5.555220, 1
321,7, 11, 4, 0.000000, 0.000000, 0
322,7, 15, 12, 0.000000, 0.000000, 0
323,7, 13, 10, 0.000000, 0.000000, 0
324,7, 14, 2, 0.000000, 0.000000, 0
325,7, 15, 4, 2.792123, 3.279413, 1
326,7, 16, 2, 0.000000, 0.000000, 0
327,7, 17, 8, 3.270232, 3.618908, 1
328,7, 18, 5, 2.040147, 2.159628, 1
329,7, 19, 6, 3.854749, 4.103842, 1
330,8, 4, 0, 0.000000, 0.000000, 0
331,8, 10, 1, 0.000000, 0.000000, 0
332,8, 7, 2, 3.211361, 3.460142, 1
333,8, 11, 3, 4.847281, 5.348118, 1
334,8, 13, 4, 5.009871, 5.603470, 1
335,8, 5, 2, 0.000000, 0.000000, 0
336,8, 15, 6, 0.000000, 0.000000, 0
337,8, 7, 0, 5.448540, 5.930177, 1
338,8, 8, 3, 0.000000, 0.000000, 0
339,8, 9, 3, 0.000000, 0.000000, 0
340,8, 10, 4, 5.555220, 6.098928, 1
341,8, 11, 4, 0.000000, 0.000000, 0
342,8, 15, 12, 0.000000, 0.000000, 0
343,8, 13, 10, 0.000000, 0.000000, 0
344,8, 14, 2, 0.000000, 0.000000, 0
345,8, 15, 4, 3.279413, 3.727377, 1
346,8, 16, 2, 0.000000, 0.000000, 0
347,8, 17, 8, 3.618908, 3.940825, 1
348,8, 18, 5, 2.159628, 2.256490, 1
349,8, 19, 6, 4.103842, 4.297890, 1
350,9, 4, 0, 0.000000, 0.000000, 0
351,9, 10, 1, 0.000000, 0.000000, 0
352,9, 7, 2, 3.460142, 3.675147, 1
353,9, 11, 3, 5.348118, 5.794258, 1
354,9, 13, 4, 5.603470, 6.156260, 1
355,9, 5, 2, 0.000000, 0.000000, 0
356,9, 15, 6, 0.000000, 0.000000, 0
357,9, 7, 0, 5.930177, 6.380023, 1
358,9, 8, 3, 0.000000, 0.000000, 0
359,9, 9, 3, 0.000000, 0.000000, 0
360,9, 10, 4, 6.098928, 6.605046, 1
361,9, 11, 4, 0.000000, 0.000000, 0
362,9, 15, 12, 0.000000, 0.000000, 0
363,9, 13, 10, 0.000000, 0.000000, 0
364,9, 14, 2, 0.000000, 0.000000, 0
365,9, 15, 4, 3.727377, 4.139419, 1
366,9, 16, 2, 0.000000, 0.000000, 0
367,9, 17, 8, 3.940825, 4.237841, 1
368,9, 18, 5, 2.256490, 2.334794, 1
369,9, 19, 6, 4.297890, 4.447875, 1
370,10, 4, 0, 0.000000, 0.000000, 0
371,10, 10, 1, 0.000000, 0.000000, 0
372,10, 7, 2, 3.675147, 3.859444, 1
373,10, 11, 3, 5.794258, 6.190626, 1
374,10, 13, 4, 6.156260, 6.663041, 1
375,10, 5, 2, 0.000000, 0.000000, 0
376,10, 15, 6, 0.000000, 0.000000, 0
377,10, 7, 0, 6.380023, 6.801001, 1
378,10, 8, 3, 0.000000, 0.000000, 0
379,10, 9, 3, 0.000000, 0.000000, 0
380,10, 10, 4, 6.605046, 7.077313, 1
381,10, 11, 4, 0.000000, 0.000000, 0
382,10, 15, 12, 0.000000, 0.000000, 0
383,10, 13, 10, 0.000000, 0.000000, 0
384,10, 14, 2, 0.000000, 0.000000, 0
385,10, 15, 4, 4.139419, 4.518808, 1
386,10, 16, 2, 0.000000, 0.000000, 0
387,10, 17, 8, 4.237841, 4.511718, 1
388,10, 18, 5, 2.334794, 2.397946, 1
389,10, 19, 6, 4.447875, 4.563097, 1
390,11, 4, 0, 0.000000, 0.000000, 0
391,11, 10, 1, 0.000000, 0.000000, 0
392,11, 7, 2, 3.859444, 4.015808, 1
393,11, 11, 3, 6.190626, 6.541980, 1
394,11, 13, 4, 6.663041, 7.127116, 1
395,11, 5, 2, 0.000000, 0.000000, 0
396,11, 15, 6, 0.000000, 0.000000, 0
397,11, 7, 0, 6.801001, 7.195758, 1
398,11, 8, 3, 0.000000, 0.000000, 0
399,11, 9, 3, 0.000000, 0.000000, 0
400,11, 10, 4, 7.077313, 7.518976, 1
401,11, 11, 4, 0.000000, 0.000000, 0
402,11, 15, 12, 0.000000, 0.000000, 0
403,11, 13, 10, 0.000000, 0.000000, 0
404,11, 14, 2, 0.000000, 0.000000, 0
405,11, 15, 4, 4.518808, 4.868447, 1
406,11, 16, 2, 0.000000, 0.000000, 0
407,11, 17, 8, 4.511718, 4.764118, 1
408,11, 18, 5, 2.397946, 2.448778, 1
409,11, 19, 6, 4.563097, 4.651201, 1
410,12, 4, 0, 0.000000, 0.000000, 0
411,12, 10, 1, 0.000000, 0.000000, 0
412,12, 7, 2, 4.015808, 4.146752, 1
413,12, 11, 3, 6.541980, 6.852829, 1
414,12, 13, 4, 7.127116, 7.551666, 1
415,12, 5, 2, 0.000000, 0.000000, 0
416,12, 15, 6, 0.000000, 0.000000, 0
417,12, 7, 0, 7.195758, 7.566693, 1
418,12, 8, 3, 0.000000, 0.000000, 0
419,12, 9, 3, 0.000000, 0.000000, 0
420,12, 10, 4, 7.518976, 7.932881, 1
421,12, 11, 4, 0.000000, 0.000000, 0
422,12, 15, 12, 0.000000, 0.000000, 0
423,12, 13, 10, 0.000000, 0.000000, 0
424,12, 14, 2, 0.000000, 0.000000, 0
425,12, 15, 4, 4.868447, 5.190921, 1
426,12, 16, 2, 0.000000, 0.000000, 0
427,12, 17, 8, 4.764118, 4.996611, 1
428,12, 18, 5, 2.448778, 2.489628, 1
429,12, 19, 6, 4.651201, 4.718326, 1
430,13, 4, 0, 0.000000, 0.000000, 0
431,13, 10, 1, 0.000000, 0.000000, 0
432,13, 7, 2, 4.146752, 4.254553, 1
433,13, 11, 3, 6.852829, 7.127384, 1
434,13, 13, 4, 7.551666, 7.939721, 1
435,13, 5, 2, 0.000000, 0.000000, 0
436,13, 15, 6, 0.000000, 0.000000, 0
437,13, 7, 0, 7.566693, 7.915978, 1
438,13, 8, 3, 0.000000, 0.000000, 0
439,13, 9, 3, 0.000000, 0.000000, 0
440,13, 10, 4, 7.932881, 8.321540, 1
441,13, 11, 4, 0.000000, 0.000000, 0
