round, agentid, gamma, isgreedy, P
0, 0, 9.814767, 1, 0011000101010001111101111011101001110001110011011001000111000110001111110100010001101010110001110101
0, 1, 10.341777, 1, 1101011010011111110111100011011000100101000101111101000000001101101000010011111011001000001010101101
0, 2, 10.303688, 1, 0101111100111011100110001001011100000101011110110011011110111110100110111000101000010100011111011111
0, 3, 10.246346, 1, 1010010111101000001111011001110111011010110001101001000110010101011010101010100011100100101010101001
0, 4, 10.086846, 1, 0011010110101000110101001010100000001110100001101111101010010010000001001000111111100001001010100011
0, 5, 9.922415, 1, 1110001110110001001101111100110100101101110110010111110001110011000010010100010001011110001001100000
0, 6, 9.516273, 1, 0010010100010101011000100000000101000111001010111100000011100101010011100011000110010111110011011010
0, 7, 9.779736, 1, 0110111101000011110000000011011101111011000001011110001000001001111010101100001101111010101101110000
0, 8, 9.695470, 1, 1011010100000000110010111000111110100011101001000101110111101000000101011110101001000000010110111101
0, 9, 10.481386, 1, 0100001100100101100000100011000010001011000011100111011000110111101001101101111001101111000000101101
0, 10, 10.294418, 1, 1011110001100000110001111100110100101110001000000011111101011001001100101001110001000011101010011111
0, 11, 10.208980, 1, 0100110011000011101111110010111010111111111110110110101100011011111101110010000001111111111101110100
0, 12, 9.937827, 1, 0011011010010101101001110110001110000011100110100011110010001010111111111011110111100100011111100110
0, 13, 9.967778, 1, 0000001000000000110010110101101111011110110101110101110010111100110011001101111110101100011101000000
0, 14, 9.962641, 1, 0000011100000010100111010100011001011000110000001011000011111001101001001111001000000010000010000000
0, 15, 9.833125, 1, 1101010000000000111011011100011010000011100000110000000101000101011001010111101010111000010111000110
0, 16, 10.232251, 1, 0100010010101011101000101100011011010100111100100010111001110111111110001110101010010101100110011110
0, 17, 10.340261, 1, 1001011100000101001011101011000010010110010000100001110010101001011010111100111101010011011100011101
0, 18, 10.365822, 1, 0001011111011100101110100001101001010100000011111001110111100110110001010010010001011010010101011000
0, 19, 10.374219, 1, 0010110111001101000001101010111010100100110011100101100110001010000111100100011000001110010011110111
0, 20, 10.394688, 1, 1111110000110010111111101101001011101100100111110010110111011100000010110000011111000111011100111000
0, 21, 9.716771, 1, 0000100011011010010001010000110010011011001101001000010101110001101101001001110011110110001011001001
0, 22, 9.963572, 1, 0111111010000110011011010010000111000100111100000000000101101101111001110100100101110010101011011100
0, 23, 10.318088, 1, 0111000011111011000101010011101111010110010100011100000011001000101101010011110000101000010101111011
0, 24, 9.473363, 1, 1010000011100100101010001111010010101100101110001101110011001110110110010111101001110110010000111001
0, 25, 10.468057, 1, 0011010100111000100000000101110111101001111111010011011101000110011100011011010011110010111110100100
0, 26, 9.538240, 1, 0101001111010001110010110011101001101111000101111010110000110000101101010011001001110011111101010101
0, 27, 10.502913, 1, 0011101110000111101010001101111100001100111111100011111101010000101101011111001001101101111111101101
0, 28, 9.205184, 1, 0001000011110011100110110101101011111110010000001001011100010001001100001010110010001110101011001001
0, 29, 10.224762, 1, 1110111100110001110000100000100001011010110001010100101001010001110000100111111101100110101101001001
0, 30, 10.482826, 1, 0111010010000000001111110110000011000110011010010001111011101110100110101110011110010010111111101001
0, 31, 10.784623, 1, 0111101100010000110111100000000010101011110101100011110100101100111011011101100010000010010000001010
0, 32, 10.227399, 1, 1101111000011111000100011110011110100111001111001011010101100110100010101001101010101001011010011000
0, 33, 9.913864, 1, 1011111101010110110001000011110100110110100001010000110111101110111100010110011011111000010011011011
0, 34, 9.630561, 1, 1111010000110001110101100011000111010011000111000100011100110000110101011110010011011001001110010011
0, 35, 10.108899, 1, 1111100110011001111111100001110101010011011000110101010110000010000100010000101001111011110111101001
0, 36, 10.032345, 1, 0110101001100001010010010110010001001111010111000101101100111101001111001001100111100001011010100110
0, 37, 10.668070, 1, 0110111010100100000110101111000101100011010000000010111010000100010011001110000101110111001101111110
0, 38, 10.574978, 1, 0010110011010111100011011010100101100010101000001100000010111000101111110010100010101011110101001101
0, 39, 9.856453, 1, 1011010010001110111001010010000010000111100111011001011000000001100101000100110101100100101110100000
0, 40, 10.153166, 1, 1101101000000011001001011101010100001111000111110011011110110111110101111111110001011011000110111011
0, 41, 9.479561, 1, 1110011010101011110100101010100001111101111000100001010001010110111111101111100010110111011001111100
0, 42, 9.718289, 1, 0100110101000101100111101111101100011111010111010010100010110011000101110111000101001001111011101010
0, 43, 10.666610, 1, 1101100010000000011111111001001000101101011001000111010110011110111001001100011101001111000101110100
0, 44, 9.922943, 1, 0110110011111010000011011000111001111110110001001110100001010110101101100011101111100000011111011010
0, 45, 10.119467, 1, 1011000000100110011110100011110001000000101010111101111001100101001100100000101001111101000001110100
0, 46, 9.758155, 1, 1101101001011111011111010110100100001001100101101111010111000100101001111001101111111111100110100101
0, 47, 9.781156, 1, 0110111010001111111110000001000101111011011101111110000111011101110111000010001011110100000011010110
0, 48, 9.911554, 1, 1000110110000011001011001001001110111111011101001011001100011110001000100101011101111000010100111010
0, 49, 10.370104, 1, 0001011011101001010100000000101011000010100010111111011100000100000001001101011111010101101100011001
0, 50, 10.012667, 1, 1101001101011111101001001010110001111111100010100010110100001001000100001000100000110101001010110110
0, 51, 9.345277, 1, 0101010101001100101011100101111011010000011001100010111111010000110010010111000110011001001011110001
0, 52, 10.155071, 1, 0100011101000000111000111110110011100011111011000101101110100001100000011110010110111010001000101101
0, 53, 9.267742, 1, 0011010010110100000011001111100011100100000110011010011010110101011100011001111001110000001000001101
0, 54, 10.596010, 1, 0001010101100111001100010000100101001010010011100010010111110100100110110100001110101010010100000111
0, 55, 9.892610, 1, 1111011111001001000100001110101001100111011100001111111011000111110000100010001011101101010101000011
0, 56, 9.620940, 1, 0101101110101100110011101011101010000010111000101110100001110011001010011100111011100111110101011000
0, 57, 9.990470, 1, 1100111110010010110010001101001010011111000101000101000111010011111100100111100011111010110001111110
0, 58, 10.010785, 1, 0001010101000000111100001111100001011010011111010101011010001111001001110001011100101001101000000010
0, 59, 9.676170, 1, 1100100011101101100101011110001011011100100001011011111001110101000101100000000111011010010100111001
0, 60, 9.806330, 1, 0100110001110001010010001111100111001011100010111110001001011000111100110011101111011000110001101010
0, 61, 9.720950, 1, 0101110000111010011110011000100110001001110110101000000010001110001011100000001111111110010111010110
0, 62, 10.340324, 1, 0001110010100100001100011110011011110100101001001010000100011000110110110001011000111000010001110101
0, 63, 9.956354, 1, 0101110100010011111010010110011100110110111110110000101100100000101010101001100011001110110101110111
0, 64, 10.286939, 1, 1110111111101100110000110001101111101011101110010001010100111111111001101010101100110110110110111101
0, 65, 10.248818, 1, 1101010111101011011010000001001010100001001010011100111000011001111101000011100000001101010010000111
0, 66, 9.419944, 1, 1110011111001001110010110000011000100010110101110011000010101101001001010100001110010011101001110001
0, 67, 10.722851, 1, 0001111011101100011011100011000110011111010000001110001101101110010100111010111000111101000110000101
0, 68, 9.955597, 1, 0100110011010000110101110111101100011000010100101111110000001001110111010011001101011111001110101000
0, 69, 10.494828, 1, 1010001000101010100101011101111111100100100000100001000110001000010110101101000101100001110011111100
0, 70, 9.799168, 1, 1100001100010100101010011000010011000111100000000100111010110111101110111001111110111001011101001110
0, 71, 10.070366, 1, 1011111001010100001100101100010100110011001101000101110111000111110000101011001100111000100111010001
0, 72, 9.598088, 1, 1000001010001011011011010001000100100000010001100101111100101111101101000111011100011011100100011000
0, 73, 9.907724, 1, 0101110100110010100001110101010111011000100000111000001100100100011110110110011111000001000011010000
0, 74, 9.596749, 1, 1101100010100101110010101111101110111011000000111101001011100110001000011010011010010001100110101010
0, 75, 10.042921, 1, 1110100011001100100111101101010101011111001001011101010001001001001011100101100101111110111000001011
0, 76, 10.091720, 1, 1011110110100110011011110000101110010100011010000010100010101101110011011010010111100001110110100110
0, 77, 10.702606, 1, 0000011101101000001101101100000011110101001011110010010111110010001110111101110011010111000001001010
0, 78, 10.155994, 1, 1011001101001000111000100010000111001000010111011000111000001100011111100101110001011100000010100010
0, 79, 10.574280, 1, 0110111100010111011000111100110001010100110000111000110001011001110001001010010100111011100011001110
0, 80, 9.522626, 1, 1011001011100101101000000000101111100010011000111110001100100001000011100110101110111111100000101101
0, 81, 10.119581, 1, 1110111101011001010101011010000000011110000110100100101110101111111110000001010000001110010000110001
0, 82, 10.075047, 1, 0011101011010100000000010111111010101000000000011000011111001001101011110100010001100011011001010101
0, 83, 9.357698, 1, 0000111101100110110011011010110111010010011011110010110100101100001011111110010111001000011011000001
0, 84, 9.898278, 1, 1111010010011101110010010111010001101100110111110110111111011101100010010110000000111001100100001010
0, 85, 10.133341, 1, 1001011011000100100111101100101101001101110000110101100000101100100001001100101000111010010001011101
0, 86, 9.909652, 1, 0101110110010100000000101010110101000000101111100111101001100100010100010101000001001001101110100110
0, 87, 9.779560, 1, 1110110001101011110100000111001110110110001000001000001111110100111101100101101110000000110000000100
0, 88, 10.234627, 1, 1011101000011000001101000010000010100110100100000110111111010111100000010010100001000011111000100001
0, 89, 9.581281, 1, 0001010000101110100010110101010010101100011100101010011111000110110110101100100110000110000110010101
0, 90, 9.285253, 1, 1101101110100101001000000100111010110010001101111011011100110001111011111100011010000000000001010000
0, 91, 10.006290, 1, 0100001000101101010110110011111110100000001000100101101111011001111001010101001011110001111000010111
0, 92, 9.683473, 1, 0000111010001011100110110000001101101101111101111110011001100110111000000000000010001100000001101010
0, 93, 10.710341, 1, 1010000001101001101000011000110101010110001100010000001111001010000101001101011101000111001111000100
0, 94, 9.687852, 1, 1110110000000011000110111111101111011000011001011011111000011011100110110100011001010101110100100000
0, 95, 10.252779, 1, 1111001110010101111000101100011110000101001100010010101001000111001000010000111110011000000111011000
0, 96, 10.028223, 1, 0111011110001011000001110010110001111010010111100010110101101011001100101111101111101110101101010011
0, 97, 10.537825, 1, 1011010011010101010111011011000110110100110010010001100100011000111000010110111001100111111100101110
0, 98, 10.329352, 1, 1000101000011000101000101000110000010000010011111011101100101010010101011001101011010011000011011010
0, 99, 10.325455, 1, 1101110110111110101011010110111010000101100101001101100100001001100000110111010101111001010001100000
0, 100, 9.832355, 1, 0000101011110100010001000111101101111110011111000110111000000101000100111010010101010000111011010100
0, 101, 10.083599, 1, 1111001000100100111011100100110000000001010110000001100100110011100101100110001000111010000010001011
0, 102, 9.712025, 1, 1101000010101001000101110010101111001000001000111110011110111010110111110011011101100011001111011001
