round, agentid, gamma, isgreedy, P
0, 0, 9.442439, 1, 0111011100101000100101000101111111001011011111011011000101000111110001101101100110001000011011010001
0, 1, 10.297359, 1, 0101101101011111110001001101011111010000011011100000101100110010011101101110001010111110010101000101
0, 2, 9.827891, 1, 1101110001001111101000100101001011100110110010100011101011010011010010111100110001000011100100101010
0, 3, 10.087466, 1, 0101011111101100110001101011110111110110001000010010010010000101111010101010111011110110111000001010
0, 4, 10.003712, 1, 1000110001101111110011101011101000111111000011110100100010011101111011001110011100010100110111011000
0, 5, 10.483771, 1, 0000011011001011011101000001000101010001101110100000100000010101101100000111111011101010100100110100
0, 6, 9.792972, 1, 0100110101000011111001001110010111000110100011100101111110010010001000101110000100010010111110001011
0, 7, 10.164946, 1, 1101110100011110010010001100011010100111111110101100001010101100010000001011010000111010001010000000
0, 8, 9.821595, 1, 0100011001100001011111011100000010011000000011110001111100100010011110111101001011101001011001100111
0, 9, 9.886320, 1, 1000101100001011100110001110010010001000111000100011001010000011001110101001001110110011111011101000
0, 10, 9.360394, 1, 1001011000110000100101101010110010111011110010100110111001111000101001010001100111101101100110010011
0, 11, 10.014845, 1, 1100100011001110100110011001100000001111101111011101000010001110111110010110000000100101000000111010
0, 12, 10.393535, 1, 1111101101001101010101011101110100111101010011101111111011000101011000110100000111010011010100000101
0, 13, 10.131331, 1, 0010101001010000101111000010100000011110001010001010111000001001000011011010100111001011010100011100
0, 14, 9.712525, 1, 0100101011010001000101101001001000000000011100010010011110111101001101101100000001010001110000110100
0, 15, 9.780562, 1, 1111001010111011000110100111001101100101011000100100010010010101011110111110110101100010000000011110
0, 16, 10.351326, 1, 0111100001111111000111011001010010110110111101000110010100000011101101000111000101000001111010010100
0, 17, 9.447835, 1, 0001100100011111000101101011011001000000101101110100111011010011011010111001000000010101110001000100
0, 18, 10.277861, 1, 1101100001110100011010010001101111001100001010110111011000000101110111010111011001010000111010111111
0, 19, 10.640762, 1, 1110000010100000011010100101111100110000010000101011111000000110011001110100011001100011101000111001
0, 20, 9.968254, 1, 1000101110011010101001111111110000011111110100010111101110110110001100001000100010001000111111101011
0, 21, 9.476760, 1, 1101101110101101000011001001111111001101011011010001101011010101011111100010001110000100011111100111
0, 22, 9.139378, 1, 0011110001001000010111110011101101010001001001111010010111101100000001100010000111001100110110011011
0, 23, 9.837873, 1, 1100011100000010101001111010101010101100111101110000010110100000100000010000110110111011100000100100
0, 24, 9.870658, 1, 0110100001101010000101111000001101000100100011101011011010110000110011000000001011001100100011100100
0, 25, 9.578935, 1, 0100111011011000010111001000101010011001101011001001001100011011111000101011100110011011110101110011
0, 26, 10.104984, 1, 1001011101011001001010110010010000010101100110001000001001110101010011110011000110010101110001110101
0, 27, 10.221123, 1, 1100111100000010100000011111011000010011000001001111100101011011010000011111111001010111100011111011
0, 28, 9.607327, 1, 0101001100010110001011100100101110101000010100110011100010110001101010100001001000000010111110110111
0, 29, 9.540984, 1, 1110101100110010111110100101010110000101101010001110100001111111001101010111100111101000011010100110
0, 30, 10.183001, 1, 1100111001010000010111010001001001100011010100000111110110001000000001001110101000110111110111111010
0, 31, 9.719027, 1, 1001001011101010000001010011110011100100010011101101100001011010100111100101110111110000110001000110
0, 32, 9.918356, 1, 1001110000111000001001010001000000110110101111000010110111100010010000010010101101001101110100100101
0, 33, 10.020330, 1, 0010110110110110100100101010111110101110000101011000001100111110011011000011001111101110100011110011
0, 34, 9.997332, 1, 1101010001100110000110000000100100110101011110000111010011011101011011111110011011011100110011000110
0, 35, 10.616766, 1, 1010001110000110101010001010110101100101010000011000001110100000111100010001101000101101100011110110
0, 36, 10.098836, 1, 0111011010111000100010010010000001001111001001101100000100010111001011010000100011000011101101010101
0, 37, 9.414525, 1, 0110011100000100101011000000111000001101001000011011101100000111110101001100000010000011010000010111
0, 38, 10.358620, 1, 1100110110101011101010110111110011101110010000101010011100001101111111000111110110011101111101010101
0, 39, 10.272223, 1, 1001001100110010011000110001100001011010111100110111001011011101011001111111100001111100000111010011
0, 40, 10.433344, 1, 0011110011011010101111011110011001001000110110001100011001111010011110110101110011101000110000110010
0, 41, 10.312737, 1, 0110111110111111111101001000110101111111101100111001011100101010001110001110000110000011111110000011
0, 42, 10.567340, 1, 1010000110101110001100010010010011011101011000000111001010110111100001110100101000110110001110110111
0, 43, 10.011166, 1, 1111110101101110000011110101110101100101110000110001111110001001001111101011011011010100111100111110
0, 44, 10.123244, 1, 0101001110111000111001111011011000001100100000001010100000001011000010010111111001000000000101101001
0, 45, 10.424359, 1, 0010010000001100110001111101000111111100101000001111110110110000101000100101100100111101110101001110
0, 46, 10.258735, 1, 1011011011100011010000011001100100010111110111000111101011111001101101110101000010100010011110010010
0, 47, 9.758254, 1, 1100101110001001000110010001011110111111111001010110111000110100010011010001000100111010010000101101
0, 48, 10.394661, 1, 0011111010101000010011001010011011011010010001100010011110011011110011010000011011110101000110000000
0, 49, 10.106305, 1, 0001110001110010100000111111011100110110101011001011001000111110101101000010011011111000111010011101
0, 50, 10.178652, 1, 1110000100010101011101110011010101111110010101111011100010011001110000111001011001001101011111010011
0, 51, 10.739203, 1, 0100001000101111101010100001101000010010011110011011010001100001101000001101000100110001001110101011
0, 52, 9.711449, 1, 1000010001101010000100111011111111111111011100111011011000011101010110100000101010010000101110010011
0, 53, 9.851178, 1, 1011010000000010110110101000011011010100001100000110011110110001000101000111011011110110010000001100
0, 54, 9.999472, 1, 1111100011100011110101111111110110100010000101010010100000100010011001000101110000010011000010101100
0, 55, 9.979537, 1, 1010010010111001000101000101011010011011001110000111000110010011011001101111110110100001110100101000
0, 56, 9.530224, 1, 1111010111101010011100100001100111000001101001101000111100011101000011010111011010111011101000101110
0, 57, 9.868605, 1, 0100011111011101010000000000101101101011010001010100110000110011000101000111100011011111011110000111
0, 58, 10.042341, 1, 1111010110010110001101111100011101010110111111001001101100011000100110110011010111100001001111100000
0, 59, 10.117047, 1, 1000101110110100101000011001111001110010101110001000011010101000001101001011010010100010001110000111
0, 60, 9.684478, 1, 1100111011011000100010011001100100100011011001011100000101111001100111110111010111010110011101101100
0, 61, 10.453118, 1, 1011011110111110010110000001000101110011100010000110100011000001000100111001010001000110001110010011
0, 62, 9.985452, 1, 1111001101100011010100110001111010100100100111011001110010100000111101111010011101100010001111100011
0, 63, 9.881939, 1, 0001101111101001110000111110110011100100010100000011001000011010101010101110001110000111111100100100
0, 64, 10.137157, 1, 0010000110011111001101001001000110001101010000001011011110010111101000111010010110001011011011011100
0, 65, 10.078126, 1, 1001110011001100110010100100001001100001010010011101101101011111110011001111001010101101101111110000
0, 66, 10.559158, 1, 0100010111111111100000011011000110110101001101100100111001000110011100111101101001100110001000001101
0, 67, 9.976034, 1, 0110001111011000101110100000111100100101010000110001111101010100100000011011111110011001000001010001
0, 68, 9.663801, 1, 0010111011111111001011100011010101001011110101110010100101001101111100100011011110011111101000110110
0, 69, 9.117328, 1, 0111101110000011011100111010001010001011100010001100000010000111011111001011010001011111110100111000
0, 70, 10.251896, 1, 0000111110011000010001111011001100101101010001000011001010001001111000010011011110111110000100001010
0, 71, 9.170900, 1, 1110101011001010110011010111110011010110011100010101100011111110110100101100111101110110111100101110
0, 72, 9.853395, 1, 0100111100000100001000011100001010011000000110011100010101100111101110011101111101000100101101101000
0, 73, 9.904086, 1, 1100110011010111100100000101100100001000111000111101110010111001001001110000101100001101010110001000
0, 74, 10.239663, 1, 0010110000010101101111100100000101101111010010110110111010011010101000111110101111010001000101000110
0, 75, 9.203608, 1, 0111100001010100110111101101100110011100100000100010110111101100101111111101011111001100100000001001
0, 76, 9.761469, 1, 0100011010001101100011010010101011011101010010100000100110001011111001100111111100110100001001010001
0, 77, 10.242515, 1, 0101000100100101000110111110010010010011110010111011111111111011000001010001001001111010111000011100
0, 78, 10.064079, 1, 1000011110010000010110000100010101111001000000010111110010011001000111110100011011011100011101100001
0, 79, 9.331642, 1, 1100110000010100110110110001101111000000010100110101010101101101010000100010001001011011100101010001
0, 80, 10.413245, 1, 0011011011110111000110010111101011000010110110001001100101001011000010001111111110101100000010011110
0, 81, 10.121691, 1, 0000010100111001001011111010110011110010110100000010001011111010100010111111100010101101111110100011
0, 82, 10.442074, 1, 1000101001011111010011101000001110111100001011100110010100001010010001111100011000101010000010101110
0, 83, 10.077912, 1, 1010011100101010110110111101001001010110100011100110110001100110000000000000011110010101010100111010
0, 84, 10.076571, 1, 1101001010101111011100010100000010000000000011111001000010100010011111101110001010011000010110010010
0, 85, 10.253681, 1, 0010110111100111010110100001011000110100101100100100001110111110010001010100110100001001100001101011
0, 86, 9.678871, 1, 1010001101000001111110011000010101010000101101011111001110001100001100100011010110011001001011001111
0, 87, 9.838913, 1, 0010101001000110101111101001101111110001100100101110101101100101111000011000001100100010011111001010
0, 88, 9.690100, 1, 1011010010011101100011111010011100100001110000100000010010000010010001111101000000111000111100010111
0, 89, 10.430863, 1, 1101111010101101001000100111011010000110110011011100001000100000000100110000010011111011111010100000
0, 90, 10.257450, 1, 1101000010011010100010000000000001001110110101110110110001011011000000110111001111000001110111011000
0, 91, 10.007021, 1, 1111001101000101101001001000100010100001110011101101101010101100101101111001000001001100100110010010
0, 92, 9.652501, 1, 0100011101100110000110101100010111111010010110001110110011011111010100000000010011011010110101110010
0, 93, 9.621158, 1, 1010000010101111001110011101000000110111000011011101001100111101100100000100101001000000100000101101
0, 94, 9.530136, 1, 0111000011110110101111001001001000011111110000110010001001111100000000010011100100110010000101111110
0, 95, 9.742285, 1, 1001000101100101001000101010110111011010000000011011111100101100000110011110011000001011110100101000
0, 96, 10.066003, 1, 0000101110101000100111110001011100110101001100101000011101001001000101111110100101101101101110100010
0, 97, 10.480068, 1, 0011001010010101010110010011101101100001110000111001100010000010110001100111011001000111011110010100
0, 98, 9.779479, 1, 1011100101010110100111101110110000000001000110111010101010101110101010011110001101011100011000000101
0, 99, 9.719426, 1, 0110110011101001100011110110000001111101010100100000001110011101111000100101111110111101000111101010
0, 100, 9.565868, 1, 0001100011110001011110001111011011001111111110100110011000100010110111110110101001110110010111101100
0, 101, 10.032885, 1, 0110011011001010011100010010111111101111110000111111100010101010011000101010011001100101100111101011
0, 102, 10.344093, 1, 1001010110101010011100001100010111101111100111001111001000001010001011010010101010101111001000111010
0, 103, 9.682740, 1, 0111110001000010100110110000101001101001111111010011111101100000101011110011001010000100001010110011
0, 104, 10.094156, 1, 0000110111110010111011010011110001011100011101100011011111011011001011110000011111011000101101001110
0, 105, 9.609761, 1, 0110010101001101010111011001110010001001110011000001001001111110011000011001110100100110010110110010
0, 106, 9.622349, 1, 1101010001111001000000100001111100000100010001111100000010001010010110001100101011101110101001001100
0, 107, 9.736752, 1, 0101100100000010000111011110100011011001011001011111010010010101011101111001011000011000110011010100
0, 108, 10.506279, 1, 0000011001010000010010101001101011001110101111001001001111110100001111011010101101010100110110000100
0, 109, 10.077432, 1, 1001110001000101000010011100110101100101111001001011011000101101100111111101110100010111011001011010
1501, 0, 9.442439, 1, 0111011100101000100101000101111111001011011111011011000101000111110001101101100110001000011011010001
1501, 1, 10.297359, 1, 0101101101011111110001001101011111010000011011100000101100110010011101101110001010111110010101000101
1501, 2, 9.827891, 1, 1101110001001111101000100101001011100110110010100011101011010011010010111100110001000011100100101010
