round, agentid, utility
1, 0, 1.079690
1, 1, 2.030549
1, 2, 1.449897
1, 3, 1.926293
1, 4, 1.555869
1, 5, 1.044087
1, 6, 0.614357
1, 7, 1.019907
1, 8, 1.573648
1, 9, 1.240027
1, 10, 2.222757
1, 11, 1.145921
1, 12, 1.209412
1, 13, 0.629993
1, 14, -2.020420
1, 15, 1.312253
1, 16, 1.537597
1, 17, 1.365895
1, 18, 0.670000
1, 19, 1.310761
1, 20, 1.069814
1, 21, 1.014063
1, 22, 1.679513
1, 23, 0.465980
1, 24, 1.343811
1, 25, 1.160069
1, 26, 1.597933
1, 27, 0.000000
1, 28, 1.629350
1, 29, 1.532752
1, 30, 0.909603
1, 31, 1.932245
1, 32, 1.309982
1, 33, 1.233360
1, 34, 2.219185
1, 35, 0.738346
1, 36, 2.268493
1, 37, 1.129988
1, 38, 1.629196
1, 39, 0.935366
1, 40, 1.231014
1, 41, 1.318233
1, 42, 1.174685
1, 43, 0.743931
1, 44, 1.201084
1, 45, 2.521982
1, 46, 2.134639
1, 47, 1.582754
1, 48, 1.540003
1, 49, 1.626701
1, 50, 0.667093
1, 51, 1.705120
1, 52, 2.038907
1, 53, 1.541629
1, 54, 1.221883
1, 55, 1.067539
1, 56, 1.647164
1, 57, 0.236391
1, 58, 1.271512
1, 59, 1.615043
1, 60, 1.053452
1, 61, 0.924364
1, 62, 1.807858
1, 63, 0.828026
1, 64, 1.078510
1, 65, 0.839995
1, 66, 1.127576
1, 67, 1.389938
1, 68, 1.679063
1, 69, 0.907932
1, 70, 1.293431
1, 71, 1.306351
1, 72, 0.999832
1, 73, 1.363992
1, 74, 0.762468
1, 75, 1.335854
1, 76, 1.419695
1, 77, 2.132860
1, 78, 1.170011
1, 79, 1.156466
1, 80, 1.219924
1, 81, 1.279901
1, 82, 1.616681
1, 83, 0.958740
1, 84, 1.516760
1, 85, 0.902549
1, 86, 1.009213
1, 87, 0.684024
1, 88, 1.673980
1, 89, 1.324023
1, 90, 1.854843
1, 91, 1.119976
1, 92, 1.332294
1, 93, 1.276623
1, 94, 1.711792
1, 95, 0.659993
1, 96, 1.584359
1, 97, 1.226658
1, 98, 1.967420
1, 99, 1.506827
1, 100, 1.489992
1, 101, 1.190656
1, 102, 1.673991
1, 103, 1.039652
1, 104, 2.125164
1, 105, 1.339676
1, 106, 0.000000
1, 107, 0.793658
1, 108, 0.774516
1, 109, 1.249781
2, 0, 1.229690
2, 1, 2.102765
2, 2, 1.507481
2, 3, 1.952673
2, 4, 1.592314
2, 5, 1.023567
2, 6, 0.668638
2, 7, 1.019907
2, 8, 1.666849
2, 9, 1.297596
2, 10, 2.282329
2, 11, 1.145921
2, 12, 1.557600
2, 13, 0.629993
2, 14, -1.240413
2, 15, 1.332977
2, 16, 1.574449
2, 17, 1.377843
2, 18, 0.539810
2, 19, 1.634762
2, 20, 1.050502
2, 21, 0.959149
2, 22, 1.815400
2, 23, 0.568309
2, 24, 1.380957
2, 25, 1.165985
2, 26, 1.687856
2, 27, 0.000000
2, 28, 1.743167
2, 29, 1.659307
2, 30, 0.909603
2, 31, 2.038175
2, 32, 1.309982
2, 33, 1.226536
2, 34, 2.469364
2, 35, 0.738346
2, 36, 2.356449
2, 37, 0.936417
2, 38, 1.798601
2, 39, 0.888646
2, 40, 1.338840
2, 41, 1.332837
2, 42, 1.655511
2, 43, 0.640000
2, 44, 1.387716
2, 45, 2.584642
2, 46, 2.380318
2, 47, 1.694451
2, 48, 1.599658
2, 49, 1.683398
2, 50, 0.610260
2, 51, 1.720030
2, 52, 2.137119
2, 53, 1.724228
2, 54, 1.198084
2, 55, 1.080683
2, 56, 1.694206
2, 57, 0.439101
2, 58, 1.276505
2, 59, 1.638562
2, 60, 1.083913
2, 61, 1.201021
2, 62, 1.841996
2, 63, 0.828026
2, 64, 1.072196
2, 65, 0.839995
2, 66, 1.183361
2, 67, 1.447574
2, 68, 1.791757
2, 69, 0.891341
2, 70, 1.338768
2, 71, 1.306351
2, 72, 0.999832
2, 73, 1.378042
2, 74, 0.728039
2, 75, 1.499131
2, 76, 1.555447
2, 77, 2.146126
2, 78, 1.209831
2, 79, 1.269375
2, 80, 1.219924
2, 81, 1.279901
2, 82, 1.696607
2, 83, 1.120376
2, 84, 1.817453
2, 85, 1.105545
2, 86, 0.832598
2, 87, 0.578000
2, 88, 1.707755
2, 89, 1.324023
2, 90, 2.025428
2, 91, 1.119976
2, 92, 1.579690
2, 93, 1.851724
2, 94, 1.761915
2, 95, 0.659993
2, 96, 1.626481
2, 97, 1.339458
2, 98, 2.012558
2, 99, 1.587211
2, 100, 1.489992
2, 101, 1.338046
2, 102, 1.686310
2, 103, 1.029215
2, 104, 2.222159
2, 105, 1.218333
2, 106, 0.000000
2, 107, 0.796480
2, 108, 0.730575
2, 109, 1.307418
3, 0, 1.381849
3, 1, 2.159065
3, 2, 1.544343
3, 3, 1.974998
3, 4, 1.613069
3, 5, 1.023567
3, 6, 0.643321
3, 7, 1.019907
3, 8, 1.719630
3, 9, 1.343900
3, 10, 2.333255
3, 11, 1.145921
3, 12, 1.801663
3, 13, 0.629993
3, 14, -0.540412
3, 15, 1.357156
3, 16, 1.598022
3, 17, 1.371100
3, 18, 0.539810
3, 19, 1.699573
3, 20, 0.999588
3, 21, 0.909993
3, 22, 1.850308
3, 23, 0.694535
3, 24, 1.375505
3, 25, 1.165985
3, 26, 1.721780
3, 27, 0.000000
3, 28, 1.778368
3, 29, 1.744381
3, 30, 0.864687
3, 31, 2.077795
3, 32, 1.309982
3, 33, 1.226536
3, 34, 2.583939
3, 35, 0.422335
3, 36, 2.456640
3, 37, 0.936417
3, 38, 1.868667
3, 39, 0.822196
3, 40, 1.437455
3, 41, 1.326112
3, 42, 2.171004
3, 43, 0.640000
3, 44, 1.520040
3, 45, 2.641808
3, 46, 2.618486
3, 47, 1.753630
3, 48, 1.663398
3, 49, 1.776965
3, 50, 0.515410
3, 51, 1.749755
3, 52, 2.196700
3, 53, 1.782653
3, 54, 1.160122
3, 55, 1.045069
3, 56, 1.701436
3, 57, 0.433659
3, 58, 1.277616
3, 59, 1.658095
3, 60, 1.107084
3, 61, 1.415622
3, 62, 1.881499
3, 63, 0.828026
3, 64, 1.055812
3, 65, 0.839995
3, 66, 1.219121
3, 67, 1.484448
3, 68, 1.867061
3, 69, 0.891341
3, 70, 1.363647
3, 71, 1.306351
3, 72, 0.999832
3, 73, 1.390158
3, 74, 0.728039
3, 75, 1.565860
3, 76, 1.679293
3, 77, 2.151191
3, 78, 1.318808
3, 79, 1.333295
3, 80, 1.095050
3, 81, 1.285430
3, 82, 1.851000
3, 83, 1.145449
3, 84, 2.000735
3, 85, 1.203809
3, 86, 0.713857
3, 87, 0.463861
3, 88, 1.711246
3, 89, 1.324023
3, 90, 2.194826
3, 91, 1.119976
3, 92, 1.787772
3, 93, 2.140794
3, 94, 1.839165
3, 95, 0.659993
3, 96, 1.673038
3, 97, 1.433931
3, 98, 2.054556
3, 99, 1.667350
3, 100, 1.489992
3, 101, 1.432365
3, 102, 1.689024
3, 103, 1.029215
3, 104, 2.265484
3, 105, 1.159271
3, 106, 0.000000
3, 107, 0.793925
3, 108, 0.696564
3, 109, 1.362044
4, 0, 1.473986
4, 1, 2.215064
4, 2, 1.550784
4, 3, 1.996342
4, 4, 1.630439
4, 5, 0.951046
4, 6, 0.623865
4, 7, 1.019907
4, 8, 1.884477
4, 9, 1.362724
4, 10, 2.382358
4, 11, 1.145921
4, 12, 1.945451
4, 13, 0.629993
4, 14, -0.220412
4, 15, 1.378571
