round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.794870, 1, 2.800000, 0.764364, 18446744073709551615, 0011111100011101110001100001011111101011111111001111110000101000100100111110011111000010010010011010
0, 1, 9.537511, 1, 2.890909, 0.851080, 18446744073709551615, 0000010100100100000101000010100011000001011100010111000000101111110111010011010110011010001101101000
0, 2, 9.560119, 1, 3.581818, 1.002502, 18446744073709551615, 1111111011000001000010010110000111000101010000110000100110001101100000101100100101100100011001000001
0, 3, 9.938958, 1, 3.309091, 1.005824, 18446744073709551615, 0100011111010110011111011001010101101001011111101101100101101100110000011111110010101011011101000111
0, 4, 10.068387, 1, 4.054545, 1.221406, 18446744073709551615, 0100010111100010010100110000001100010100001011111010011101011011100101111011011111001001011000110100
0, 5, 10.085245, 1, 0.000000, 0.000000, 18446744073709551615, 1111100000010010110111000100110010110011011111100010110110101010101000010001011111100101000111111100
0, 6, 9.905633, 1, 3.663636, 1.148072, 18446744073709551615, 1010111001111000111001111100010011011010100010010101011011100111111100001001000010010101110110010001
0, 7, 9.896342, 1, 3.536364, 1.143973, 18446744073709551615, 0101001101010100010011000001100001001010001111111001101011011100010011110001110010101010001101000000
0, 8, 9.935329, 1, 4.054545, 1.166861, 18446744073709551615, 0000000100011111011001000100100010100000111011010010100001000001110110011110100101100101001011101111
0, 9, 10.268424, 1, 3.063636, 1.076337, 18446744073709551615, 0100011100010111101100111010010010011100011110100111000000010101111010001111010111010101010000101001
0, 10, 9.970761, 1, 3.863636, 1.237922, 18446744073709551615, 1010001100101101010011110100001000011001011000000011000010000101010001101110010001010010110001011011
0, 11, 9.727616, 1, 3.472727, 0.920352, 18446744073709551615, 1011000011000010000001010000101011011001100001010011101001010100101110101011001111101010110000000111
0, 12, 9.852211, 1, 3.190909, 1.113138, 18446744073709551615, 1101100110110111100110101111010011110101111101010010111010011001110001000110100010010010111000001011
0, 13, 10.483920, 1, 2.663636, 0.756997, 18446744073709551615, 1110100111011101110100010111001000011110110001010110101100011111011100100100101110010110010000001101
0, 14, 10.394637, 1, 3.018182, 0.842139, 18446744073709551615, 0011110011001110101000100100010011101010001010111001001011111100000001000001110000111111001000000100
0, 15, 9.541862, 1, 3.372727, 1.087202, 18446744073709551615, 1100100111101010001100100011101000111101001011000100011100001111110011010001111110001111110000110011
0, 16, 9.545734, 1, 2.618182, 0.776354, 18446744073709551615, 0111101001100000011111111110111100100001100000011101110000000110101101000000010011110001110000001111
0, 17, 10.487028, 1, 2.581818, 0.788784, 18446744073709551615, 1110000101011100111010111011011111101100100010001001001111011110001101100001111000001010000100001000
0, 18, 9.539892, 1, 2.581818, 0.806966, 18446744073709551615, 1001101110010101000000010111011001010101100010101101111110010001100011000100010111111000111010001111
0, 19, 9.782084, 1, 3.709091, 1.212897, 18446744073709551615, 0110101100000100011000010101110001010111001010011011010001000001010011010100011000010010011100011001
0, 20, 9.800780, 1, 3.545455, 1.014200, 18446744073709551615, 0100100001000011010111001011101001111111111100000001100101111111000011110111111110110111110101001000
0, 21, 9.737405, 1, 3.463636, 0.994221, 18446744073709551615, 0000000101001000010111110111101010101111100001011110001011011101110011001111110000110001101101010100
0, 22, 9.562833, 1, 0.000000, 0.000000, 18446744073709551615, 0111101010110011100100010011001111100110011010010100110010010011010000001100010110100011100111101011
0, 23, 9.566818, 1, 3.400000, 1.106546, 18446744073709551615, 1110011001000001101100011111101110101100100010011011110100010101110111000010110111001110111011100000
0, 24, 9.542434, 1, 3.090909, 0.894815, 18446744073709551615, 1001010011111111000100001111101110101000000110000111011000010110000000010000111001110000111001100101
0, 25, 10.518958, 1, 2.672727, 0.861707, 18446744073709551615, 0100101111111101001110101010100010111001010010100110011001000010110100101100010100011011011000101000
0, 26, 10.195060, 1, 2.945455, 0.960414, 18446744073709551615, 1000100000010010001010110010000110010101010111100110011110001110000110100000100110111101001111001111
0, 27, 10.283196, 1, 3.000000, 0.863636, 18446744073709551615, 0001101001101000111110111111000011111110011010110011101101101101101010100011111011100000001100110111
0, 28, 10.226193, 1, 3.027273, 1.085681, 18446744073709551615, 1101100000101011110110111101101001111000100100100100001011010100101010011010010010000010101111100100
0, 29, 10.217027, 1, 3.590909, 1.071882, 18446744073709551615, 0101100001000001010111110100101101100011001000100110111101011000010110111001101011010001101110001010
0, 30, 10.211591, 1, 3.172727, 0.831996, 18446744073709551615, 1001010111011111101001110101010100000010011100101100100010111100010101010110000011010111110010110000
0, 31, 9.303549, 1, 3.281818, 0.999570, 18446744073709551615, 0010100011010001011000100000100011010001010110001101011000001111011110101111110010111111100111010010
0, 32, 10.315917, 1, 4.818182, 1.388353, 18446744073709551615, 0001101110100110001100000111011101101010111010100010000011100101111011011010101110011110100011000100
0, 33, 9.992492, 1, 3.718182, 1.152628, 18446744073709551615, 1101000100001111011111001011101110000000001010111010101001001100001100001000010100010001111011110111
0, 34, 10.064604, 1, 3.445455, 1.086902, 18446744073709551615, 1001001100111001110010111000010111101010110110001111111101000000111111011010000011100000010100110111
0, 35, 10.262819, 1, 3.018182, 0.896685, 18446744073709551615, 1110111000100111100001110001001001101011110000001011111101011111101110101101010011101101010110000001
0, 36, 10.137114, 1, 3.381818, 1.069578, 18446744073709551615, 1000101111100101101010101011000011000011011001000001000000001001001101000110000101000001110000001010
0, 37, 9.771492, 1, 2.954545, 0.805316, 18446744073709551615, 0110001010110100011011100100010011010101111111001011101001111111001011110101101001001001111101000001
0, 38, 10.530661, 1, 3.454545, 1.049737, 18446744073709551615, 1000010011011100110000110011100100110100010111011111010010111111100001101001101001111010010011100111
0, 39, 9.641448, 1, 3.081818, 1.161553, 18446744073709551615, 1110011011101111111001100110111100010010011011111000101110011001110111101000000011100001001110110101
0, 40, 10.037080, 1, 3.645455, 1.266406, 18446744073709551615, 1101000011100011111010110011000010001101100001111001010100101110101110000010001010001101001010101100
0, 41, 10.562428, 1, 3.018182, 0.860321, 18446744073709551615, 0010010100110111010001110101000011101000110101001101100100111101011110100110100100011111110001110011
0, 42, 10.024880, 1, 3.472727, 1.102170, 18446744073709551615, 1001100110110101000110110000001001000101000110000100010101001010011100101000101010100011111010111111
0, 43, 9.857635, 1, 3.509091, 0.986816, 18446744073709551615, 0011001111011111101001100011100100101011100100100001010001001101011010010110011010001010000010100001
0, 44, 9.955105, 1, 2.963636, 1.122774, 18446744073709551615, 1110110111011111101110001100000000101010100000100110010111110110110100101001100101101110101001101110
0, 45, 10.071898, 1, 3.272727, 0.924417, 18446744073709551615, 0000010111101100011011010101100111001000110110010001000011001000111000001000011100011010000001100100
0, 46, 10.296914, 1, 2.945455, 0.851324, 18446744073709551615, 1010100010110111111100101101111100100011001001111001100111011110001110111000011110110111100111001000
0, 47, 10.148174, 1, 2.963636, 0.850047, 18446744073709551615, 0010000010010011001100111010010000101001011011011110101111111100111010011110100101011101000100101100
0, 48, 10.088472, 1, 3.472727, 1.047624, 18446744073709551615, 1011111000100110101011110100110111000101101100011110111010001100110010110111011000010110011101110011
0, 49, 9.821588, 1, 3.672727, 1.088649, 18446744073709551615, 0100001111001110000100000100010100101000101101111101001100110010100100100000111010100010101101100000
0, 50, 10.294577, 1, 3.236364, 0.967567, 18446744073709551615, 1000000000001100111100011000101100100010011110010111010111110111101110101110011100011011010010110101
0, 51, 9.598534, 1, 3.018182, 0.860321, 18446744073709551615, 1000000101100010010111100110101100100001001100100011011001100110101111100011000001110111000010010011
0, 52, 9.948800, 1, 3.054545, 0.851654, 18446744073709551615, 1011011000101001000101010111100110100001001010111100101100110110010100100110010000100101000011100111
0, 53, 9.938384, 1, 4.445455, 1.344423, 18446744073709551615, 1101010011111111100100111001101110000001011011010001011100010110111000101110101111100010100010101001
0, 54, 10.423776, 1, 2.709091, 0.842485, 18446744073709551615, 0001000001110111100010001100110101101111100001011011111011101100110110110101111100001000101111111011
0, 55, 10.058503, 1, 3.409091, 1.106593, 18446744073709551615, 0101110011100101111010001010000101010101111100001110101110010000101100101111010011100101101110000001
0, 56, 9.737998, 1, 3.472727, 1.193079, 18446744073709551615, 1000110110010010001010100100110000110000010101001110011111111001001001101010100000111011110101111111
0, 57, 9.562849, 1, 3.536364, 1.016700, 18446744073709551615, 1000010010010101011000000000110101010001111111000101100000110000110000101001101111111100001010101100
0, 58, 9.564433, 1, 3.572727, 1.223865, 18446744073709551615, 1111101111101100111110000001101000100000011011101100111100001111001110000101000111101110010011000110
0, 59, 10.017567, 1, 3.272727, 1.069872, 18446744073709551615, 1001000110001001001111010010011111100111011111000011010100101011011110100000000101000011110010001101
0, 60, 10.289718, 1, 3.100000, 0.918818, 18446744073709551615, 0000110001001001111100001010001011011110000001000110001010001100001010110100101111011000011000010010
0, 61, 9.946226, 1, 4.427273, 1.182873, 18446744073709551615, 0000000100001001110001110001111001001101100100101001011110111110111010101110101010101000100010000110
0, 62, 9.373886, 1, 3.509091, 1.077725, 18446744073709551615, 1011101001010110001010100011001101010000101001111011000001000100001011010001010011101100000010100011
0, 63, 10.233979, 1, 2.954545, 0.932588, 18446744073709551615, 0010010011001010001000010001010001010110001011110001100101100010111101011011111011011010110010001110
0, 64, 10.108524, 1, 3.036364, 0.947237, 18446744073709551615, 1001110100001111110110001011011111011101011010001100011101110110010000000111011100111001000010101110
