round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 10.036314, 0, 3.695000, 1.045444, 18446744073709551615, 0001101010111100011000010111001101111101101000100011011100011001111101010000111101111010000101101001
0, 1, 10.485353, 0, 3.760000, 0.991024, 18446744073709551615, 0111100101111101000000101001000001001110111011000000100001010110000000111101010010111011000101111110
0, 2, 9.939220, 0, 3.820000, 0.961674, 18446744073709551615, 0111001101110111010000100100010110111101000000101011000001111001110101111100100001111011110111011101
0, 3, 9.942346, 0, 3.810000, 1.068739, 18446744073709551615, 1101111110010101011101100111011100010011010100011101101101101101101110101000011011111010010110000110
0, 4, 9.585106, 0, 4.310000, 1.188139, 18446744073709551615, 1100000001100110111000010010000100010010010010011001001011010110011110110111100000011010110011111100
0, 5, 10.208135, 0, 4.675000, 1.160818, 18446744073709551615, 0111010111100111011011101100101100010110000011011101111010100000111010101011100100000010101001010110
0, 6, 9.522351, 0, 4.245000, 1.184775, 18446744073709551615, 0011010011100100110010011110000010101110000111011100111111111101101000110111010101110110111001111010
0, 7, 10.100043, 0, 3.735000, 1.075271, 18446744073709551615, 0001101011110110000101011100011111000100101110010111111001101111001111010100001100010101001010000011
0, 8, 9.774529, 0, 3.080000, 0.878735, 18446744073709551615, 0100111011100100101111011011011110011011001000111011000010010110001001100110000110010001011100000010
0, 9, 10.366395, 0, 3.825000, 1.098068, 18446744073709551615, 1000111011101001111010110001110010111110111110100010010001110100101001111011100101100101011100100110
0, 10, 10.144094, 0, 3.125000, 0.961719, 18446744073709551615, 1110000101000000001111010110001101000010110110101000001111010100001110001011010110110001100000100000
0, 11, 10.170096, 0, 4.545000, 1.321406, 18446744073709551615, 0000010001100111111000101100011010011000010010001001010111101111101101001001010111010110000110000000
0, 12, 9.637025, 0, 3.775000, 1.101870, 18446744073709551615, 0011010010000011101110110001110101101011011100010100110101001101110000011000111101000100010010100000
0, 13, 9.417630, 0, 3.505000, 1.077125, 18446744073709551615, 0000101001111111000110010010101000111101000011011101001011000101011000110000000001111110001100001011
