round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.642241, 1, 4.390000, 1.325179, 18446744073709551615, 0111010110110001111001010011001010000001001011001001010110110010111111100011001111110100010100011010
0, 1, 9.739461, 1, 3.625000, 1.192969, 18446744073709551615, 1000011110011010111111001101010111101001110100110010011010000100100101001101010011100101111011100110
0, 2, 10.036428, 1, 4.695000, 1.451544, 18446744073709551615, 0001110100100001100001100000000000000111011010111110100010110101101111001000001000001001011100111100
0, 3, 9.818832, 1, 3.115000, 1.044742, 18446744073709551615, 0011011011100111010011110010011111000111010000010001110111010110110101100010001011001000010001001111
0, 4, 10.259617, 1, 3.850000, 1.139276, 18446744073709551615, 0110010111011111001000001001111011100100110001111011111001010100010110000110101001000010111101100011
0, 5, 9.976034, 1, 5.065000, 1.324233, 18446744073709551615, 1001000000110001010001011010011000001010010111111101101000010110011000111101111101100010111110001001
0, 6, 10.463403, 1, 3.115000, 1.054742, 18446744073709551615, 1000100110001111001000101000111011010110001110001010101010101010010111000001111000010100011111110010
0, 7, 10.340849, 1, 3.215000, 0.835413, 18446744073709551615, 1101101000010110011111011010111111001110110000101001011011000010000111001100001011110001100000101000
0, 8, 10.056395, 1, 4.030000, 1.096691, 18446744073709551615, 1000111011100110001011000000001110110011110001000100010111001100010000111000000001010010011111110110
0, 9, 9.818751, 1, 3.970000, 1.131491, 18446744073709551615, 1011010110011000010100001110011111011100110000111000011111110100100101001110000111001100111011101010
0, 10, 9.434213, 1, 3.165000, 0.877601, 18446744073709551615, 0100100001101100111000000111101100001110010000011101011100010000010011000011011100100110000011011000
0, 11, 10.403475, 1, 4.155000, 1.318335, 18446744073709551615, 0111111101100111010110001100010001111110110111000101001001111000110001001100011010101001111010101100
0, 12, 10.166857, 1, 3.800000, 1.015599, 18446744073709551615, 0010101111110101001011011011111100100010001010111010110010101110001000000000111100110100010111110111
0, 13, 10.588685, 1, 3.500000, 1.047500, 18446744073709551615, 1011111001011101100010111111110011111111001011010110011000100100011010001010110001111000101101111011
0, 14, 9.655132, 1, 4.820000, 1.165275, 18446744073709551615, 1011111110010011110010000101100001000101011011011110111100111111000000101010001100101110001110111010
0, 15, 10.246149, 1, 3.735000, 0.995272, 18446744073709551615, 0110011101010001011011111110100110100110101001110011001101001011110010001010010100000011000011100001
0, 16, 10.121510, 1, 3.240000, 0.847424, 18446744073709551615, 0101000100110001101000010100101100011101010111110111101101010110110001000010101000110011110100010110
0, 17, 9.702334, 1, 3.650000, 1.024274, 18446744073709551615, 0000010011111100111110110111110011100000111110011001101101100001100000010010011100001101000111010011
0, 18, 9.398358, 1, 4.625000, 1.370469, 18446744073709551615, 1111100100111000001000101100000010011001010101001101100001011001100010010010101010010011111110000000
0, 19, 10.013769, 1, 3.690000, 1.017739, 18446744073709551615, 0101010000110111010011110101111111010100000011011001111011110000101011010111110001111111001110111111
0, 20, 9.816513, 1, 3.525000, 0.965119, 18446744073709551615, 0011110111110100000111110110100011110000000001000111110101111101100101001000110111010110111100001101
0, 21, 9.772819, 1, 3.595000, 1.101735, 18446744073709551615, 1010100100011100011101111001010000011000000010101100011101110101011111110011010011011111110101001001
0, 22, 9.879494, 1, 3.455000, 0.788605, 18446744073709551615, 1110001010001001101011100100111111011100100110001000111001000101111110100111001001000101011011011001
0, 23, 10.068592, 1, 4.325000, 1.142318, 18446744073709551615, 1110110100000010000000111110101111101101110101000100100101101001000010001011111000011110010101111100
0, 24, 10.010621, 1, 3.850000, 1.119275, 18446744073709551615, 1010111000011111111000000100110001010011011100101001000010000011110111010100010000000101000011000110
0, 25, 10.159271, 1, 3.300000, 1.051100, 18446744073709551615, 0101001001111110000010101010101100010110101100101110010001111011000010101000111110101000101010000000
0, 26, 9.783820, 1, 4.240000, 1.062625, 18446744073709551615, 0101000110110010110111100001100101000000111100010011101001101111000000000110100001000111111011111110
0, 27, 9.525962, 1, 3.370000, 0.899530, 18446744073709551615, 1100000000010100101011111100100010110010000101101101011101100111111001100011100001010011100111011011
0, 28, 10.202343, 1, 3.980000, 1.081196, 18446744073709551615, 1001111001100101100001000010110010110100000101010101101101011100101111011100101111111110101100101111
0, 29, 10.400189, 1, 3.995000, 0.985375, 18446744073709551615, 0100011010010111010001101111110011000011001110101000110101001110111010111011110111111110101101000110
0, 30, 10.068343, 1, 3.570000, 1.047653, 18446744073709551615, 1001100101110111010000100111001101111001000111101110110100101000011011001100100001000101100111011010
0, 31, 10.235159, 1, 4.060000, 1.181564, 18446744073709551615, 1001101100011000001111001001111111110011010100001100101100001100100111001100100111101010110010110010
0, 32, 9.779043, 1, 4.130000, 1.262532, 18446744073709551615, 1001000101011110110100001110101011001111010001101011101000100010000011000011101100100110000001100011
