iteration,round, agentid, utility
0,1, 0, 0.321624
1,1, 1, 0.071240
2,1, 2, 0.032999
3,1, 3, -7.325769
4,1, 4, 0.111933
5,1, 5, -0.536740
6,1, 6, 0.099418
7,1, 7, 0.233869
8,1, 8, -58.426105
9,1, 9, 0.289158
10,1, 10, 0.127950
11,1, 11, -3.179796
12,1, 12, 0.358596
13,1, 13, 0.454541
14,1, 14, -4878.517578
15,1, 15, 0.059997
16,1, 16, -0.891798
17,1, 17, 0.289523
18,1, 18, -39.873104
19,1, 19, 0.310993
20,2, 0, 0.293093
21,2, 1, 0.071240
22,2, 2, 0.032999
23,2, 3, -28.595444
24,2, 4, 0.090575
25,2, 5, -0.520085
26,2, 6, 0.099418
27,2, 7, 0.235673
28,2, 8, -7.316020
29,2, 9, 0.289158
30,2, 10, 0.113879
31,2, 11, -1.226143
32,2, 12, 0.358596
33,2, 13, 0.449474
34,2, 14, -2654.312744
35,2, 15, 0.059997
36,2, 16, 0.001729
37,2, 17, 0.276016
38,2, 18, -9.470363
39,2, 19, 0.308358
40,3, 0, 0.303959
41,3, 1, 0.300992
42,3, 2, 0.032999
43,3, 3, -29.096775
44,3, 4, 0.135633
45,3, 5, -0.113637
46,3, 6, 0.099418
47,3, 7, 0.233800
48,3, 8, -1.442897
49,3, 9, 0.289158
50,3, 10, 0.105683
51,3, 11, -0.544928
52,3, 12, 0.279962
53,3, 13, 0.443561
54,3, 14, -851.644592
55,3, 15, 0.059997
56,3, 16, 0.310170
57,3, 17, 0.258920
58,3, 18, -6.454676
59,3, 19, 0.304137
60,4, 0, 0.305533
61,4, 1, 0.307483
62,4, 2, 0.032999
63,4, 3, -26.576488
64,4, 4, 0.135633
65,4, 5, 0.156178
66,4, 6, 0.099418
67,4, 7, 0.211929
68,4, 8, -0.695333
69,4, 9, 0.408841
70,4, 10, 0.101239
71,4, 11, -0.255627
72,4, 12, 0.102861
73,4, 13, 0.429222
74,4, 14, -417.066406
75,4, 15, 0.059997
76,4, 16, 0.432490
77,4, 17, 0.280482
78,4, 18, -4.156734
79,4, 19, 0.300311
80,5, 0, 0.302710
81,5, 1, 0.655200
82,5, 2, 0.048162
83,5, 3, -19.234426
84,5, 4, 0.135633
85,5, 5, 0.219210
86,5, 6, 0.099418
87,5, 7, 0.213167
88,5, 8, -0.295813
89,5, 9, 0.603905
90,5, 10, 0.099197
91,5, 11, -0.114306
92,5, 12, 0.103084
93,5, 13, 0.414891
94,5, 14, -71.927017
95,5, 15, 0.134981
96,5, 16, 0.493019
97,5, 17, 0.290984
98,5, 18, -1.791755
99,5, 19, 0.297131
100,6, 0, 0.303383
101,6, 1, 0.713360
102,6, 2, 0.102874
103,6, 3, -18.849770
104,6, 4, 0.210599
105,6, 5, 0.276545
106,6, 6, 0.099418
107,6, 7, 0.139989
108,6, 8, -0.441502
109,6, 9, 0.592681
110,6, 10, 0.098691
111,6, 11, -0.038060
112,6, 12, 0.071635
113,6, 13, 0.283017
114,6, 14, -51.460369
115,6, 15, 0.134981
116,6, 16, 0.534173
117,6, 17, 0.262031
118,6, 18, -0.784411
119,6, 19, 0.374355
120,7, 0, 0.306085
121,7, 1, 0.691499
122,7, 2, 0.123524
123,7, 3, -21.060106
124,7, 4, 0.210599
125,7, 5, 0.272820
126,7, 6, 0.099418
127,7, 7, 0.141054
128,7, 8, -0.441502
129,7, 9, 0.607606
130,7, 10, 0.077950
131,7, 11, 0.240302
132,7, 12, 0.058362
133,7, 13, 0.263738
134,7, 14, -39.055660
135,7, 15, 0.134981
136,7, 16, 0.558576
