round, agentid, utility
1, 0, 0.446793
1, 1, 1.634843
1, 2, 0.000000
1, 3, 1.873276
1, 4, 2.138255
1, 5, 1.951217
1, 6, -0.040000
1, 7, 1.392661
1, 8, 1.679901
1, 9, 1.662752
1, 10, 1.582058
1, 11, 1.739802
1, 12, 1.685677
1, 13, 1.409621
1, 14, 1.629992
1, 15, 1.779923
1, 16, 2.032576
1, 17, 2.179422
1, 18, 1.718544
1, 19, -0.040000
1, 20, 1.539889
1, 21, 1.849697
1, 22, 1.446581
1, 23, 1.598946
1, 24, 0.000000
1, 25, 1.519741
1, 26, 1.310728
1, 27, 1.414407
1, 28, 1.029836
1, 29, 2.330041
1, 30, 1.114693
1, 31, 1.200508
1, 32, 1.289987
1, 33, 1.682247
1, 34, 1.335249
1, 35, 1.145806
1, 36, 1.279909
1, 37, 1.109880
1, 38, 2.036588
1, 39, 1.732517
1, 40, 1.849862
1, 41, 1.172757
1, 42, 1.688062
1, 43, 1.029906
1, 44, 0.810000
1, 45, 1.669768
1, 46, 1.787498
1, 47, 1.414305
1, 48, 1.547616
1, 49, 2.020363
1, 50, 1.186694
1, 51, 1.251719
1, 52, 1.439436
1, 53, 0.572275
1, 54, 2.199573
1, 55, 2.008456
1, 56, 1.122043
1, 57, 2.132254
1, 58, 1.655324
1, 59, 1.653004
1, 60, -0.040000
1, 61, 1.269941
1, 62, 1.688201
1, 63, 1.637856
1, 64, 0.994062
1, 65, 0.706388
1, 66, 1.359896
1, 67, 0.900179
1, 68, 0.181008
1, 69, 0.613526
1, 70, 1.656404
1, 71, 1.439927
1, 72, 0.829915
1, 73, 1.144446
1, 74, 0.000000
1, 75, 2.087466
1, 76, 0.809225
1, 77, 1.834265
1, 78, 1.355032
1, 79, 1.431577
1, 80, 1.879116
1, 81, 1.579728
1, 82, 1.606882
1, 83, 1.259348
1, 84, 1.203048
1, 85, 1.742101
1, 86, 1.591313
1, 87, 1.480348
1, 88, 1.510580
1, 89, 1.668766
1, 90, 2.344147
1, 91, -0.310390
1, 92, 1.462361
1, 93, 1.339995
1, 94, 1.192077
1, 95, 0.670410
1, 96, 1.765961
1, 97, 0.720000
1, 98, 0.960821
1, 99, 1.578581
1, 100, 1.522190
1, 101, 1.318660
1, 102, 1.919906
1, 103, 1.313383
1, 104, 1.110676
1, 105, 1.283773
1, 106, 0.349467
1, 107, 1.125455
1, 108, 0.909955
1, 109, 2.665619
1, 110, 1.872157
1, 111, 1.232474
1, 112, 1.349558
1, 113, 0.830135
1, 114, 1.571971
1, 115, 1.606096
1, 116, 1.780700
1, 117, 1.482346
1, 118, 1.376775
1, 119, 1.429844
1, 120, -0.090007
1, 121, 1.201047
1, 122, 1.077809
1, 123, 1.461787
1, 124, 1.697742
1, 125, 0.987777
1, 126, 1.247297
1, 127, 1.637669
1, 128, 1.690142
1, 129, 2.075657
1, 130, -1.170502
1, 131, 1.502430
1, 132, 1.593639
1, 133, 1.451213
1, 134, 1.399683
1, 135, 0.876196
1, 136, 1.702164
1, 137, 1.599985
1, 138, 1.101573
1, 139, 1.119552
1, 140, 1.484167
1, 141, 1.764104
1, 142, 0.499817
1, 143, 1.242061
1, 144, -0.022480
1, 145, 1.417472
1, 146, 1.351700
1, 147, 0.755987
1, 148, 0.900000
1, 149, 1.079898
1, 150, 1.299763
1, 151, 1.794354
1, 152, 2.691558
1, 153, 0.780000
1, 154, 1.459099
1, 155, 1.034013
1, 156, 1.690327
1, 157, 1.299970
1, 158, 2.149726
1, 159, 0.910000
1, 160, 0.920156
1, 161, 1.419866
1, 162, 2.160733
1, 163, 1.369896
1, 164, 1.633636
1, 165, -0.136916
1, 166, 1.870144
1, 167, 1.703903
1, 168, 1.567536
1, 169, 1.216801
1, 170, 0.638365
1, 171, 1.169756
1, 172, 1.864783
1, 173, 0.269800
1, 174, 1.898960
1, 175, 1.541307
1, 176, 1.315923
1, 177, 1.639877
1, 178, 0.740000
1, 179, 1.499802
1, 180, 1.513798
1, 181, 0.719580
1, 182, 1.669622
1, 183, 1.382896
1, 184, 1.439384
1, 185, 1.318894
1, 186, 1.639673
1, 187, 1.456059
1, 188, 1.702333
1, 189, 1.209238
1, 190, 0.899587
1, 191, 2.841921
1, 192, 1.557451
1, 193, 1.312070
1, 194, 0.744010
1, 195, 1.486196
1, 196, 1.184739
1, 197, 0.970633
1, 198, 0.260000
1, 199, 2.140313
1, 200, 1.898027
1, 201, 1.828610
1, 202, 1.824912
1, 203, 1.285964
1, 204, 0.599833
1, 205, 1.251198
1, 206, 2.109029
1, 207, -0.031963
1, 208, 1.102017
1, 209, 1.402481
1, 210, 1.329870
1, 211, 0.922037
1, 212, 1.309347
1, 213, 1.983787
1, 214, 1.362587
1, 215, 0.900596
1, 216, 0.834572
1, 217, 0.959892
1, 218, 1.159993
1, 219, 2.192098
1, 220, 0.744172
1, 221, 1.562767
1, 222, 1.419837
1, 223, 1.618106
1, 224, 1.173851
1, 225, 0.909906
1, 226, 1.295472
1, 227, 0.889640
1, 228, 1.412290
1, 229, 1.369934
1, 230, 2.351832
1, 231, 0.669995
1, 232, 1.139897
1, 233, 1.599759
1, 234, 1.030000
1, 235, 1.066782
1, 236, 1.706456
1, 237, 1.456177
1, 238, 1.079257
1, 239, 1.824302
1, 240, 1.861467
1, 241, 0.000000
1, 242, 1.842794
1, 243, 1.940358
1, 244, 1.612589
1, 245, 1.694112
1, 246, 1.538993
1, 247, 1.997673
1, 248, 1.559999
1, 249, 1.739750
75, 0, 0.924606
75, 1, 1.654599
75, 2, 0.000000
75, 3, 2.566993
75, 4, 3.051121
75, 5, 2.611178
75, 6, 1.764680
75, 7, 1.962260
75, 8, 3.233217
75, 9, 2.067543
75, 10, 0.644786
75, 11, 2.551494
75, 12, 2.194832
75, 13, 1.425705
75, 14, 2.467920
75, 15, 2.230882
75, 16, 2.662180
75, 17, 2.568080
75, 18, 2.994840
75, 19, -0.000003
75, 20, 2.138967
75, 21, 2.209692
75, 22, 1.344714
75, 23, 2.424451
75, 24, 0.000000
75, 25, 2.305989
75, 26, 1.789316
75, 27, 1.646841
75, 28, 0.670254
75, 29, 3.015502
75, 30, 1.431056
75, 31, 1.220613
75, 32, -0.090006
75, 33, 2.075950
75, 34, 0.826232
75, 35, 0.166940
75, 36, 2.178783
75, 37, 1.273286
75, 38, 3.591527
75, 39, 2.319789
75, 40, 2.815327
75, 41, 1.520591
75, 42, 2.341227
75, 43, 1.029906
75, 44, 0.490000
75, 45, 1.714461
75, 46, 1.923020
75, 47, 2.222121
75, 48, 1.717301
75, 49, 3.407336
75, 50, 0.995292
75, 51, 1.391701
75, 52, 1.029993
75, 53, -0.455776
75, 54, 2.921559
75, 55, 2.849822
75, 56, 1.376983
75, 57, 3.225556
75, 58, 1.788386
75, 59, 2.160025
75, 60, 0.000000
75, 61, 1.481953
75, 62, 2.358385
75, 63, 2.645504
75, 64, 2.780630
75, 65, 1.608523
75, 66, 1.899425
75, 67, 1.003434
75, 68, 1.375055
75, 69, 2.296398
75, 70, 2.348536
75, 71, 1.408642
75, 72, -0.002355
75, 73, 2.952080
75, 74, 0.000000
75, 75, 2.781933
75, 76, 2.070873
75, 77, 1.835078
75, 78, 2.538865
75, 79, 1.758142
75, 80, 3.363697
75, 81, 1.769058
75, 82, 2.156117
75, 83, 1.107279
75, 84, 1.401096
75, 85, 2.556171
75, 86, 1.727831
75, 87, 2.012064
75, 88, 1.236804
75, 89, 1.016664
75, 90, 2.886551
75, 91, 2.461137
75, 92, 1.706118
75, 93, 1.329382
75, 94, 1.282781
75, 95, -0.040000
75, 96, 2.754539
75, 97, 0.720000
75, 98, 0.859995
75, 99, 1.606841
75, 100, 2.047514
75, 101, 0.669859
75, 102, 2.941058
75, 103, 1.677269
75, 104, -0.000964
75, 105, 1.402286
75, 106, 1.515313
75, 107, -0.040000
