round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.999278, 1, 3.650000, 1.147662, 18446744073709551615, 1000110110101010011101110011111011011101110011000111101010010110000010001001010000110010010011000100
0, 1, 9.646625, 1, 3.875000, 1.144141, 18446744073709551615, 1011110010011001100111000111100011011001000010110010111010111100010000111011011110100011100000001000
0, 2, 10.111428, 1, 4.535000, 1.260283, 18446744073709551615, 0001110001111101001111110101111101001011101110101101100110111111100011000010011111111110010110100110
0, 3, 9.864230, 1, 3.740000, 1.002586, 18446744073709551615, 1001100110110011110110101100010111110100001011010001011011110101111110011000110111110000101111100000
0, 4, 10.120732, 1, 3.970000, 1.042687, 18446744073709551615, 0111010101111100110111011110110010101011001001100000001010110000000010001100000100101111011000011000
0, 5, 10.232274, 1, 3.620000, 1.179034, 18446744073709551615, 0101001011100000010000110011010000111011101010000011011110001000110000000011011000001100111001100110
0, 6, 10.041264, 1, 5.855000, 1.329759, 18446744073709551615, 0100011100100010000100010001111100100010011011011000000000001110010011011110010110001101100100101100
0, 7, 9.553584, 1, 4.325000, 1.118790, 18446744073709551615, 0000000110010110000010001001011100010100111011100011101000010110110000000110111111011011001001010111
0, 8, 9.631650, 1, 3.665000, 0.911293, 18446744073709551615, 1000000100010001000110011110110000101011000110010100111110100001111010011111011001110101111101001110
0, 9, 9.872765, 1, 3.320000, 0.972265, 18446744073709551615, 0001100000111001100101001011110000110100010110000100000101110011011100001111000111000000100001110000
0, 10, 10.132143, 1, 4.055000, 1.315328, 18446744073709551615, 0100101011011011011111101001111101000010101010100011111010110010011111110100011111100011110000110101
0, 11, 10.534642, 1, 3.910000, 1.232578, 18446744073709551615, 0111111101100010000000100010111111001101111111001100100001000000100000000000101010110001011001000001
0, 12, 10.090564, 1, 4.265000, 1.201920, 18446744073709551615, 0010100000110000011101111011000000000000111111111010111011100011100000100000111010010111010011000111
0, 13, 9.896570, 1, 3.880000, 1.029784, 18446744073709551615, 0001001010010101010101101011001101001101111100101001100111100111101010011101101011100001011111000110
0, 14, 10.037362, 1, 3.540000, 1.010425, 18446744073709551615, 0011011011011101100000000110101001110111101110100001110001110101000101010000101010001101111100110011
0, 15, 10.154028, 1, 0.000000, 0.000000, 18446744073709551615, 0000111100101100010110110011100010001101101100010110110001001101011010100011011111100111111110100110
0, 16, 10.139243, 1, 0.000000, 0.000000, 18446744073709551615, 0000000000110110110011100000001110001110111110100000000101000001100100100101010011111001111010111101
0, 17, 10.019392, 1, 4.375000, 1.307266, 18446744073709551615, 1111001111101010011010010011011000001100011101011111000010110001010101001010111011011101010000110101
0, 18, 9.958309, 1, 3.410000, 0.887478, 18446744073709551615, 0100111100111100110110111001011010001110101011101110111101011011110010011100001111010100111000101010
0, 19, 9.706017, 1, 3.945000, 1.128528, 18446744073709551615, 0110000110111011000001101101000110111000100110110000011010101101001100011101011101011100000001010110
0, 20, 9.763552, 1, 4.365000, 1.305978, 18446744073709551615, 0111101011110010111111110000001011100101111101110101001000000001101001111001010000101001111101001000
0, 21, 9.658124, 1, 3.775000, 1.200617, 18446744073709551615, 1000000011111111111001010111010110010111010001001001101110101011100110110110111110101000011111011100
0, 22, 10.627242, 1, 3.545000, 1.229471, 18446744073709551615, 0110000110010101110000110000101001000010101001010110101100011010101010110000100000010101010111100011
0, 23, 9.260048, 1, 4.335000, 1.160893, 18446744073709551615, 1111101010100001010101011100111001001110011000010111111101011010001000111010101011101101100011011000
0, 24, 9.584670, 1, 4.255000, 1.078398, 18446744073709551615, 1111111111001000000100110110111000011000101010001110100100111100111010101011110001011110001001001010
0, 25, 10.123816, 1, 3.665000, 1.091293, 18446744073709551615, 1100101111000000111100111101101100111001100101000101101011100100001001001110000101001001101000000100
0, 26, 10.691780, 1, 4.025000, 1.161366, 18446744073709551615, 1001110110010100011000011010001111011100100100101000100101110000110100000010010000101100010100111111
0, 27, 10.207685, 1, 3.455000, 1.138920, 18446744073709551615, 1010111001011011100011100011111010111010011011100101101110100010101101010100011111011000000010010100
0, 28, 9.913950, 1, 3.440000, 0.998896, 18446744073709551615, 0100111011000010110001001100001000101100000110011001000000000100110110100011101010100001000000111100
0, 29, 10.072605, 1, 3.470000, 1.008486, 18446744073709551615, 0110011010100110101101110110010111110001001101001110010111100100111110011011110001010110001101001111
