round, agentid, gamma, isgreedy, P
0, 0, 10.267431, 1, 1001100001011010000110010101101110100000010000000101100000010010110111100100101001101010010101010100
0, 1, 9.886660, 1, 1110101001001100011001001001011011010010101100110110100010111110100110011111110011011101000010001100
0, 2, 10.422663, 1, 0100110100011100011111111011100111100001011000011111011100111011101011100111111011000001101110011010
0, 3, 10.751126, 1, 0111101001000001001100110000100110110000011110000011110000101111110101111001001101110001011101011101
0, 4, 9.720915, 1, 1011111001001000000001100000111001111110010011011100100000110111110000001011111010010100010001101111
0, 5, 10.209999, 1, 1011100000000101010001001101100110000100000100110001100001101000110001100010110110001111001100101111
0, 6, 9.415850, 1, 0111110000011101101101111101101010001011100111010010110000100100101101000101001000110000110101010111
0, 7, 10.256969, 1, 0111011001110000111101000001100101101111101010011100100110000011011001001011010111111110101110000001
0, 8, 10.434495, 1, 0100000010111111101111010111111011010101111100111001100111001101001111000100001110011011111110000110
0, 9, 9.926065, 1, 1001000110000111000100000001000111001110010010001001101000110111111110110010100001011100011011101111
0, 10, 10.146868, 1, 0111001011100000011001010011011000010001000011100110000001101011111010110111001100010100100010011101
0, 11, 10.550146, 1, 1011011011000001011111100101110100110101011000001100101001110001100101101010001100010110011010100000
0, 12, 9.724669, 1, 1001111110100111111000110110100100011100010010110101111010010110001101011100000111110010101010110100
0, 13, 10.203091, 1, 0000111100101001100001010110101001111011000110000111001100001011011010101000001000111000101101000000
0, 14, 9.436747, 1, 0111011000110000101100000101001001111100000111110110001011001010000011001100100110110111100110100101
0, 15, 10.005113, 1, 0101101001111100010010001100110000101000110011111010111001100001001011101110001100010101010100010100
0, 16, 9.922511, 1, 0100011001010111011000000100011000100110000100111101000101111101011010110100010111011100111001110000
0, 17, 9.962737, 1, 0110010100111010010010100001101001111011101001100100110100101101001100111011110100110011100110000010
0, 18, 10.210939, 1, 0101000010010110000110100100010110101010000000011100100101011011000000011111011000101100000111100010
0, 19, 9.685349, 1, 1011100010001000110011101100111100110100111011010100000110001100011000000100000101011010110111101010
0, 20, 10.085593, 1, 1011100111010001001000101010000001001110110110110100001111100011111111111011001010001101011010010100
0, 21, 9.642599, 1, 1100111000110111100110111110000000100110111010010111010100010010110000010101101110110110011000001100
0, 22, 9.738435, 1, 1001111010010011011011010110000011111000011111111110001001111000111100000100011111011111011101001110
0, 23, 9.862161, 1, 1101101101110110111001110101101101011010011010101100100101010011101001000101001010111001110101011001
0, 24, 9.992136, 1, 1001010000001111111001000010111111000101011010000010010000101011111000101010010000001000111010100111
0, 25, 9.542381, 1, 0110011000010010110010110101011001100101110010101100110111111000110100100111100011001100000101000000
0, 26, 9.890826, 1, 0011000010110110101011110101010010010100111111011110101100110001000001100111111100010000000110110111
0, 27, 10.031808, 1, 0011010011010100111111000100011101111000101100011111001100010000100101001000100010110000011011010111
0, 28, 10.003678, 1, 1110001011111110101111100110100000000110100010101111111001010100010100110100011100001001101111111100
0, 29, 10.344976, 1, 1000010110000011011111000101000110101011101010010011011111101001101010101100101111110110001000011100
0, 30, 9.987763, 1, 1000001000000101001001001000000100101101011001111010001010111111110010111100001010001101010101000101
0, 31, 9.779146, 1, 1010011101000101110001101111100011001100011000011011100101001111101101000010101101001000011110111101
0, 32, 10.088538, 1, 0001111101100110000110000100010111000000000110011000111100110010101001100110011110101011011010001001
0, 33, 10.142143, 1, 1000110001000010000100101111111011110110100101111110110011001001111100011000101011110111111010100100
0, 34, 10.269283, 1, 1010101101001100100110001111101101110100010011101101001111000010101011101000110011101110000101100011
0, 35, 9.669994, 1, 0100001011001000101110101011000111000100101101100101110100001010011010100011111010101010000011010001
0, 36, 9.860114, 1, 0110011010011011011001101111011001101000011001100011010011010110001100000111110000000110011110100010
0, 37, 10.056238, 1, 1111100101100000100001100011011101110001101010101100010101110011101001110000000001100001101011001110
0, 38, 9.566332, 1, 1100010101111100101111100011110111010110100001010011000010011111100001000110110000110000100001100100
0, 39, 9.875319, 1, 1111010001100100100110110111100100110100101110001010100111110000110101100110111001101101101011000010
0, 40, 10.094653, 1, 0101011110011101000001010110101101011101101010101000000000110010100101110011111110011100111011011011
0, 41, 9.766243, 1, 1000100100111100101100101000000001100000000101010101001011110110110110010100100000100000100101111001
0, 42, 9.337348, 1, 1010010100000001000000000100000000110010110111010001101010100111100000100010011001011111000010011001
0, 43, 10.196990, 1, 1110101100110001011100010010100110010011000010010000011111101101101011010010111010110111001110110000
0, 44, 10.061041, 1, 0011111011011111111001110001010101111010101110110101010010010000001101101101101110111010000111111110
0, 45, 10.573100, 1, 0000100101101011110110101100101001011100011101011110111000000010111101100101110010110001100011100100
0, 46, 9.696879, 1, 1111011001101110011010101101111100000011111000001101011100011011010111111111101100000000110100010100
0, 47, 10.672696, 1, 1101100010011100011010101110001100110100100000111110011000001101011000110001011111011101100100110111
0, 48, 9.847140, 1, 0010000010001111111110000011001110010010001000111011001100111000100010101101010110010001100001010000
0, 49, 10.023516, 1, 1101011010111101111100111101011111110010111011110001101100101001000111001000000101110000011001011010
0, 50, 10.466174, 1, 0010011011101000100110000110100110010001101011010111010010110001100101111100000000100110001101011001
0, 51, 9.997649, 1, 0101111011000100101010000101011111100110100101010100100011001111110010010000001001010111101110100100
0, 52, 9.800840, 1, 1011011010011100110011110011000100101011011110000110100011110011101111010011100010110101001010110001
0, 53, 10.183678, 1, 1100100101011110110001010101100000100110110010001011011010100110000110111000101101001011101100000111
0, 54, 10.347344, 1, 0001110010011001001001111001111011000011001001110100110111001100011011001100000011111111000110101001
0, 55, 10.658277, 1, 0001110011100000100011000001010001000110001000110001000110000100110001010111110011100111011010110111
0, 56, 10.338385, 1, 1110101010011100110100000010101110001101010110101000000101010100111110100100011010101111010010110100
0, 57, 9.543375, 1, 0100000010101001100001100111100100011011110001101010010000100000110110110011001011100111100011101101
0, 58, 10.331612, 1, 0010010100100110101010101111100001110100110100110011111000100111111010110100010001111001111001100011
0, 59, 9.678350, 1, 1110011100001101011010010110110000001110010110011101010101000100101010011010011100111010100100001000
0, 60, 9.656371, 1, 0110001011010101110011011101111000011001111110001101111001110000101011011000111001010001100101101101
