round, agentid, utility
1, 0, 1.831482
1, 1, 0.904295
1, 2, 0.449996
1, 3, 1.792542
1, 4, 1.769487
1, 5, 1.472400
1, 6, 1.696380
1, 7, 0.799945
1, 8, 3.301175
1, 9, 1.519851
1, 10, 1.589858
1, 11, 1.677440
1, 12, 1.382689
1, 13, 1.520289
1, 14, 1.422865
1, 15, 2.252667
1, 16, 0.883951
1, 17, 1.580501
1, 18, 2.202717
1, 19, 1.826883
1, 20, 0.880000
1, 21, 0.987227
1, 22, 1.261210
1, 23, 1.771249
1, 24, 2.203287
1, 25, 1.684747
1, 26, 1.048882
1, 27, 2.032744
1, 28, 1.624212
1, 29, 1.702564
1, 30, 1.081093
1, 31, 1.696261
1, 32, 1.107988
1, 33, 1.338768
1, 34, 0.841786
1, 35, 1.191926
1, 36, 2.002352
1, 37, 1.069720
1, 38, 0.939659
1, 39, 1.618492
1, 40, 0.539996
1, 41, 1.962785
1, 42, 1.579786
1, 43, 0.729922
1, 44, 0.518324
1, 45, 1.100911
1, 46, 2.043844
1, 47, 2.946786
1, 48, 1.622256
1, 49, 1.312982
1, 50, 0.859993
1, 51, 0.629995
1, 52, 0.924365
1, 53, 0.579479
1, 54, 1.209804
1, 55, 1.359877
1, 56, 1.019988
1, 57, 1.682066
1, 58, 1.049994
1, 59, 1.362840
1, 60, 1.307477
1, 61, 1.919989
1, 62, 1.089999
1, 63, 1.759693
1, 64, 1.412855
1, 65, 0.982099
1, 66, 1.116416
1, 67, 1.668361
1, 68, 1.670777
1, 69, 1.814898
1, 70, 1.231047
1, 71, 1.584927
1, 72, 1.449992
1, 73, 2.137671
1, 74, 1.489799
1, 75, 1.544228
1, 76, 1.061148
1, 77, 1.041665
1, 78, 1.684123
1, 79, 1.265620
1, 80, 1.389901
1, 81, 0.913604
1, 82, 1.206539
1, 83, 2.291566
1, 84, 2.414866
1, 85, 1.894784
1, 86, 1.670307
1, 87, 2.160048
1, 88, 1.100000
1, 89, 1.781988
1, 90, 1.529993
1, 91, 0.955277
1, 92, 1.472750
1, 93, 2.188277
1, 94, 2.237101
1, 95, 1.289866
1, 96, 1.159903
1, 97, 1.207177
1, 98, 1.379714
1, 99, 1.219927
1, 100, 2.132594
1, 101, 1.140000
1, 102, 0.689991
1, 103, 2.067800
1, 104, 0.859994
1, 105, 1.285055
1, 106, 0.640000
1, 107, 1.358093
1, 108, 1.019836
1, 109, 1.412948
2, 0, 2.302495
2, 1, 1.272918
2, 2, 0.449996
2, 3, 1.864980
2, 4, 1.829359
2, 5, 1.418581
2, 6, 2.339948
2, 7, 0.799945
2, 8, 3.416023
2, 9, 1.577432
2, 10, 1.820349
2, 11, 1.861188
2, 12, 1.512677
2, 13, 1.652024
2, 14, 1.527737
2, 15, 2.287210
2, 16, 0.883951
2, 17, 1.730780
2, 18, 2.282221
2, 19, 1.836061
2, 20, 0.694307
2, 21, 0.965498
2, 22, 1.261210
2, 23, 1.843914
2, 24, 2.968165
2, 25, 1.892636
2, 26, 1.115179
2, 27, 2.099044
2, 28, 1.624212
2, 29, 1.749209
2, 30, 1.384342
2, 31, 1.759815
2, 32, 1.665501
2, 33, 1.408450
2, 34, 0.841786
2, 35, 1.369973
2, 36, 2.016768
2, 37, 1.875775
2, 38, 1.022533
2, 39, 1.631484
2, 40, 0.539996
2, 41, 2.262764
2, 42, 1.624159
2, 43, 0.729922
2, 44, 0.485685
2, 45, 1.106553
2, 46, 2.072076
2, 47, 3.191706
2, 48, 1.652565
2, 49, 1.359611
2, 50, 0.859993
2, 51, 0.629995
2, 52, 0.879993
2, 53, 0.869479
2, 54, 1.333117
2, 55, 1.359877
2, 56, 1.092862
2, 57, 1.749912
2, 58, 1.049994
2, 59, 1.409480
2, 60, 1.431035
2, 61, 2.089988
2, 62, 1.029999
2, 63, 1.759693
2, 64, 1.465849
2, 65, 0.982099
2, 66, 1.301928
2, 67, 1.633388
2, 68, 1.670777
2, 69, 1.902740
2, 70, 1.231047
2, 71, 1.575128
2, 72, 1.607468
2, 73, 2.195985
2, 74, 1.503857
2, 75, 1.544228
2, 76, 1.039432
2, 77, 1.039876
2, 78, 1.684123
2, 79, 1.265620
2, 80, 1.389901
2, 81, 1.101910
2, 82, 1.224949
2, 83, 2.312515
2, 84, 2.540751
2, 85, 1.874285
2, 86, 1.708212
2, 87, 2.217619
2, 88, 1.010000
2, 89, 1.941600
2, 90, 1.529993
2, 91, 0.955277
2, 92, 1.541687
2, 93, 2.169991
2, 94, 2.306622
2, 95, 1.316148
2, 96, 1.390367
2, 97, 1.298215
2, 98, 1.412412
2, 99, 1.219927
2, 100, 2.334366
2, 101, 1.178321
2, 102, 0.689991
2, 103, 2.072978
2, 104, 0.869994
2, 105, 1.297311
2, 106, 0.640000
2, 107, 1.454838
2, 108, 0.999918
2, 109, 1.498186
3, 0, 2.456813
3, 1, 1.320375
3, 2, 0.449996
3, 3, 1.935141
3, 4, 1.868930
3, 5, 1.334458
3, 6, 2.489374
3, 7, 0.799945
3, 8, 3.553356
3, 9, 1.603918
3, 10, 1.869858
3, 11, 1.984485
3, 12, 1.595424
3, 13, 1.683581
3, 14, 1.527737
3, 15, 2.331753
3, 16, 0.883951
3, 17, 1.812088
3, 18, 2.380540
3, 19, 1.874572
3, 20, 0.640000
3, 21, 0.837439
3, 22, 1.261210
3, 23, 1.875579
3, 24, 3.094452
3, 25, 1.971776
3, 26, 1.237443
3, 27, 2.146747
3, 28, 1.624212
3, 29, 1.775981
3, 30, 1.518375
3, 31, 1.803935
3, 32, 1.835494
3, 33, 1.408450
3, 34, 0.841786
3, 35, 1.369973
3, 36, 2.023928
3, 37, 2.186972
3, 38, 1.075555
3, 39, 1.883781
3, 40, 0.718682
3, 41, 2.744730
3, 42, 1.652380
3, 43, 0.729922
3, 44, 0.417171
3, 45, 1.104946
3, 46, 2.072076
3, 47, 3.286999
3, 48, 1.671880
3, 49, 1.389436
3, 50, 0.859993
3, 51, 0.630991
3, 52, 0.599993
3, 53, 1.458574
3, 54, 1.444776
3, 55, 1.655759
3, 56, 1.108405
3, 57, 1.782332
3, 58, 1.049994
3, 59, 1.409480
3, 60, 1.412241
3, 61, 2.135420
3, 62, 1.029999
3, 63, 1.759693
3, 64, 1.508224
3, 65, 0.982099
3, 66, 1.417053
3, 67, 1.613960
3, 68, 1.670777
3, 69, 1.971598
3, 70, 1.231047
3, 71, 1.569602
3, 72, 1.638373
3, 73, 2.198018
3, 74, 1.503857
3, 75, 1.591050
3, 76, 0.945610
3, 77, 0.947934
3, 78, 1.684123
3, 79, 1.265620
3, 80, 1.389901
3, 81, 1.101800
3, 82, 1.261739
3, 83, 2.334600
3, 84, 2.638230
3, 85, 1.874285
3, 86, 1.748855
3, 87, 2.254445
3, 88, 1.010000
3, 89, 1.955424
3, 90, 1.541948
3, 91, 0.955277
3, 92, 1.613076
3, 93, 2.149209
3, 94, 2.396546
3, 95, 1.316148
3, 96, 1.497855
3, 97, 1.349796
3, 98, 1.433152
3, 99, 1.219927
3, 100, 2.535661
3, 101, 1.243097
3, 102, 0.689991
3, 103, 2.076293
3, 104, 0.869994
3, 105, 1.362714
3, 106, 0.544541
3, 107, 1.469090
3, 108, 0.909538
3, 109, 1.507352
4, 0, 2.507715
4, 1, 1.282638
4, 2, 0.449996
4, 3, 2.043831
4, 4, 1.955318
4, 5, 1.334458
4, 6, 2.564005
4, 7, 0.799945
4, 8, 3.622418
4, 9, 1.633809
4, 10, 2.028285
4, 11, 2.037640
4, 12, 1.649031
4, 13, 1.684062
4, 14, 1.527737
4, 15, 2.366527
4, 16, 0.883951
4, 17, 1.893162
4, 18, 2.436958
4, 19, 1.911490
4, 20, 0.640000
4, 21, 0.814927
4, 22, 1.261210
4, 23, 1.955707
4, 24, 3.181267
4, 25, 1.985507
4, 26, 1.343565
4, 27, 2.218094
4, 28, 1.624212
4, 29, 1.796202
4, 30, 1.592700
4, 31, 1.844585
4, 32, 1.967385
4, 33, 1.408450
4, 34, 0.841786
4, 35, 1.675086
4, 36, 2.051138
4, 37, 2.267680
4, 38, 1.109474
4, 39, 1.955854
4, 40, 0.773395
4, 41, 2.963367
4, 42, 1.652380
4, 43, 0.729922
4, 44, 0.222357
4, 45, 1.125371
4, 46, 2.102620
4, 47, 3.327807
4, 48, 1.692442
4, 49, 1.364032
4, 50, 0.859993
4, 51, 0.657121
4, 52, 0.599993
4, 53, 1.779563
4, 54, 1.535764
4, 55, 1.777626
4, 56, 1.155666
4, 57, 1.803077
4, 58, 1.049994
4, 59, 1.444026
4, 60, 1.403752
4, 61, 2.154595
4, 62, 1.029999
4, 63, 1.759693
4, 64, 1.558985
4, 65, 0.982099
4, 66, 1.465812
4, 67, 1.613960
4, 68, 1.670777
4, 69, 2.083003
4, 70, 1.231047
4, 71, 1.601920
4, 72, 1.609314
4, 73, 2.204470
4, 74, 1.503857
4, 75, 1.604422
4, 76, 0.859718
4, 77, 0.915504
4, 78, 1.684123
4, 79, 1.265620
4, 80, 1.389901
4, 81, 1.082384
4, 82, 1.273363
4, 83, 2.339104
4, 84, 2.730780
4, 85, 1.874285
4, 86, 1.789503
4, 87, 2.278009
4, 88, 1.010000
4, 89, 1.958959
4, 90, 1.597989
4, 91, 0.955277
4, 92, 1.633781
4, 93, 2.211395
4, 94, 2.468633
4, 95, 1.316148
4, 96, 1.543220
4, 97, 1.398016
4, 98, 1.433152
4, 99, 1.219927
4, 100, 2.551355
4, 101, 1.323918
4, 102, 0.689991
4, 103, 2.078745
4, 104, 0.834206
4, 105, 1.404906
4, 106, 0.544541
4, 107, 1.469090
4, 108, 0.899918
4, 109, 1.489474
5, 0, 2.616278
5, 1, 1.282638
5, 2, 0.449996
5, 3, 2.077538
5, 4, 2.003953
5, 5, 1.334458
5, 6, 2.629161
5, 7, 0.799945
5, 8, 3.725405
5, 9, 1.664259
5, 10, 2.028285
5, 11, 2.121042
5, 12, 1.734430
5, 13, 1.684862
5, 14, 1.797310
5, 15, 2.408298
5, 16, 0.883951
5, 17, 1.925991
5, 18, 2.468107
5, 19, 1.970414
5, 20, 0.640000
5, 21, 0.710948
5, 22, 1.242824
5, 23, 2.020002
5, 24, 3.245650
5, 25, 1.999330
5, 26, 1.440446
5, 27, 2.269017
5, 28, 1.624212
5, 29, 1.820872
5, 30, 1.644864
5, 31, 1.949792
5, 32, 2.040563
5, 33, 1.408450
5, 34, 0.736789
5, 35, 2.112524
5, 36, 2.070210
5, 37, 2.312548
5, 38, 1.131179
5, 39, 1.996330
5, 40, 0.801877
5, 41, 3.026759
5, 42, 1.652380
5, 43, 0.729922
5, 44, 0.155576
5, 45, 1.112271
5, 46, 2.102620
5, 47, 3.354403
5, 48, 1.725387
5, 49, 1.355470
5, 50, 0.859993
5, 51, 1.034445
5, 52, 0.599993
5, 53, 1.993533
5, 54, 1.624845
5, 55, 1.822246
5, 56, 1.137741
