round, agentid, gamma, isgreedy, meandist, vardist, maxdist, P
0, 0, 9.939405, 1, 3.463636, 1.012344, 18446744073709551615, 0000101111111101010101001110100000000100000111111000101010011110001010100000010101001101100001110010
0, 1, 10.794086, 1, 3.836364, 1.112153, 18446744073709551615, 1001000101010000111100001100010101111101001100010010011111100100010011010110111010111111111000101110
0, 2, 9.739043, 1, 3.136364, 0.864706, 18446744073709551615, 1010100110000100111001100110101001011101110001111010100110010001110110111000001111001111000100110111
0, 3, 10.530184, 1, 3.209091, 0.962660, 18446744073709551615, 0001010010111011010111101110111110010001100001010110111010110010001110100111010001000000010011001100
0, 4, 10.051605, 1, 4.563636, 1.147526, 18446744073709551615, 0000000000101110010000101101011001110011001000000110100010111000110010010100111011001100001001011010
0, 5, 10.023029, 1, 2.954545, 0.836758, 18446744073709551615, 1101110001010010011010111110111101000011100111100001010001111011001001011011110001001101011101111011
0, 6, 10.193346, 1, 3.518182, 1.009872, 18446744073709551615, 0100000011000101001111010111001111011000010100110010011110100010100010110011001001010001000011010111
0, 7, 9.996240, 1, 3.990909, 1.227851, 18446744073709551615, 0110111011010001110000100000001000111010001100101010011110110111001011111011010111000011000001110100
0, 8, 10.021655, 1, 4.063636, 1.109468, 18446744073709551615, 1111110000101001100010110110011001001011000011110101100101000011010000101001011000011000011100101101
0, 9, 10.176548, 1, 3.518182, 1.191690, 18446744073709551615, 1101000011011100100010000010111001001100011100010111101110111111001010110000000100101010101001010000
0, 10, 10.285780, 1, 4.490909, 1.321115, 18446744073709551615, 0100000111111011110101111010011101101110111011010110001001011000111101000100011010100001001010101111
0, 11, 9.875305, 1, 3.345454, 1.015278, 18446744073709551615, 1110010110001110011011110101100101011011010001010011110001101011001101000001100010001001100110101100
0, 12, 10.158039, 1, 3.600000, 1.104001, 18446744073709551615, 1110001001001010010110100000100011101111011111010100010010010101011100101100101111011101101011101001
0, 13, 9.698249, 1, 2.936364, 1.017567, 18446744073709551615, 0011101001000101001100100100001001111100011111110011111110000000011011100011100101100011001101101011
0, 14, 10.103640, 1, 2.727273, 0.876183, 18446744073709551615, 0100000111000101110100101111000000101000001001011011010100100001001001110110110101111111101000111000
0, 15, 9.978245, 1, 3.418182, 1.118905, 18446744073709551615, 1101110111001110110110001011110011010001010100000100000101110100111110001001100110011111001101001000
0, 16, 9.637882, 1, 3.190909, 1.007354, 18446744073709551615, 1110000101010001100000000110101001110101100001001001110011011011000111110101110110001111010011010000
0, 17, 10.637065, 1, 3.300000, 0.929181, 18446744073709551615, 1111100011001100000000000111001100111010001001101110111011110110000000110111100110000111101010010000
0, 18, 10.673665, 1, 3.063636, 1.010625, 18446744073709551615, 0011111010110010110001010101101101110111110110001011100010110111010110100000100101110001010011101100
0, 19, 9.443415, 1, 4.618182, 1.351236, 18446744073709551615, 1110000110110010101100001111010001001111101000111101011101010110100100011000101000100101110010101100
0, 20, 10.209658, 1, 3.672727, 0.988448, 18446744073709551615, 0111111000110111010111100001011110111100011110100110010111001111001100001010100010110111101111001000
0, 21, 10.272324, 1, 3.127273, 0.822166, 18446744073709551615, 1001000101011011111110111110010100001001001011010100000110011111101000010011011111010011111000111100
0, 22, 9.634302, 1, 3.354545, 1.071997, 18446744073709551615, 0001001011111100111000000010111011010001010011101101011010111100010011101001011100000000100011110000
0, 23, 10.280030, 1, 3.236364, 0.867095, 18446744073709551615, 0111100111000110001111000100001100110100101011110000010101010110100110011011010100011101111010011110
0, 24, 9.910156, 1, 4.018182, 1.071071, 18446744073709551615, 0101111110001010110010100110011011111001001110011000001010001000011101001101100011001011111110110011
0, 25, 9.844751, 1, 2.754545, 0.934411, 18446744073709551615, 0001100101011100000100100001011100010100100001101100001011001110100010011101000000011110110010111111
0, 26, 10.149247, 1, 3.000000, 0.863636, 18446744073709551615, 0001000001100110011110011010011011011000011101001010001011110011110010100100010110111000101001001110
0, 27, 10.145585, 1, 3.090909, 0.923065, 18446744073709551615, 1000100100000010001010110011000100111010101101111010000001001101001110101011101010110011110010111111
0, 28, 10.179458, 1, 3.345454, 1.051642, 18446744073709551615, 0000000101011111011100010111100010101000010101010111101111110110010001100001100100101101010101001000
0, 29, 9.744488, 1, 3.427273, 1.065201, 18446744073709551615, 1100110001100011100001001101101111100010111110000100011000100011010101011001011100110010101010010100
0, 30, 10.119501, 1, 3.309091, 0.895826, 18446744073709551615, 1101001000110111010000111101001010100100100110000110001011001100001011011011010010101100100110000011
0, 31, 9.665509, 1, 3.700000, 1.285545, 18446744073709551615, 1101100001001000010101010000010100111010101100100110010111000110001101100110000001110011100100110101
0, 32, 10.140138, 1, 3.518182, 0.991690, 18446744073709551615, 1101101011000100110100000101100100000001111010011101011110001010101001100011011100001100100111111100
0, 33, 10.274627, 1, 3.436364, 0.920418, 18446744073709551615, 1110101100000111000001101000111001001110110000010110110011011110010110111101100011101101011111010011
0, 34, 10.168233, 1, 2.963636, 0.900649, 18446744073709551615, 0011111011000100000100000011100100101000000101000001101101010100100011011001000010100110001100100000
0, 35, 9.136386, 1, 3.354545, 1.071997, 18446744073709551615, 0000010011111010011110110001010110100110111110000101010011110001001011111000010010100011011110100110
0, 36, 9.978677, 1, 3.145455, 1.088898, 18446744073709551615, 1010010100101000110001110000010100100000101011110111011111100011110001000000111011110010000000100010
0, 37, 10.017327, 1, 4.072727, 1.153009, 18446744073709551615, 1110010001111001011110011010111010001111111110110100001110011100000000101110010000111110001101100011
0, 38, 9.881427, 1, 3.181818, 1.074906, 18446744073709551615, 1101011110011101000100010001101011111000111111000110001011101010001000000110010010110011011100111110
0, 39, 9.769680, 1, 2.781818, 0.882046, 18446744073709551615, 0101010000101010111010110110001101111110000011011010001111010011110101000100000000010101110011000111
