iteration,round, agentid, utility
0,1, 0, 0.889169
1,1, 1, 0.590827
2,1, 2, 1.300869
3,1, 3, 0.447785
4,1, 4, 0.303746
5,1, 5, 0.918170
6,1, 6, 0.779998
7,1, 7, 0.714061
8,1, 8, 1.393202
9,1, 9, 2.387646
10,1, 10, 8.553683
11,1, 11, 0.431753
12,1, 12, 1.811776
13,1, 13, 0.334456
14,1, 14, 0.066036
15,1, 15, 0.478795
16,1, 16, 0.951821
17,1, 17, 1.447100
18,1, 18, 0.242515
19,1, 19, 0.323051
20,2, 0, 1.568913
21,2, 1, 1.305339
22,2, 2, 1.846829
23,2, 3, 0.854356
24,2, 4, 0.433066
25,2, 5, 1.250020
26,2, 6, 1.666031
27,2, 7, 1.801494
28,2, 8, 2.963164
29,2, 9, 6.925369
30,2, 10, 12.460091
31,2, 11, 4.707312
32,2, 12, 2.094963
33,2, 13, 0.687477
34,2, 14, 0.122233
35,2, 15, 0.946079
36,2, 16, 1.305452
37,2, 17, 1.852911
38,2, 18, 0.599112
39,2, 19, 0.509876
40,3, 0, 2.101452
41,3, 1, 1.945214
42,3, 2, 2.138364
43,3, 3, 3.433562
44,3, 4, 0.891164
45,3, 5, 2.063869
46,3, 6, 2.494772
47,3, 7, 3.260851
48,3, 8, 8.387230
49,3, 9, 8.420433
50,3, 10, 17.987812
51,3, 11, 9.088735
52,3, 12, 2.152568
53,3, 13, 0.780069
54,3, 14, 0.274394
55,3, 15, 1.384022
56,3, 16, 1.855204
57,3, 17, 2.702829
58,3, 18, 1.056346
59,3, 19, 1.200102
60,4, 0, 2.274758
61,4, 1, 4.520168
62,4, 2, 5.459469
63,4, 3, 6.359341
64,4, 4, 2.960566
65,4, 5, 3.222388
66,4, 6, 5.316439
67,4, 7, 5.383444
68,4, 8, 10.307567
69,4, 9, 11.861872
70,4, 10, 20.877522
71,4, 11, 11.352261
72,4, 12, 4.344465
73,4, 13, 0.886955
74,4, 14, 0.309648
75,4, 15, 1.616450
76,4, 16, 2.527505
77,4, 17, 3.596415
78,4, 18, 1.089284
79,4, 19, 1.185010
80,5, 0, 2.356078
81,5, 1, 5.464967
82,5, 2, 6.252945
83,5, 3, 7.235377
84,5, 4, 3.789604
85,5, 5, 3.710744
86,5, 6, 8.252894
87,5, 7, 8.900517
88,5, 8, 13.935735
89,5, 9, 12.760752
90,5, 10, 24.631569
91,5, 11, 13.130776
92,5, 12, 9.241425
93,5, 13, 1.822662
94,5, 14, 1.356640
95,5, 15, 2.509954
96,5, 16, 3.022363
97,5, 17, 3.827819
98,5, 18, 2.007607
99,5, 19, 1.836088
100,6, 0, 5.338355
101,6, 1, 7.396308
102,6, 2, 9.645697
103,6, 3, 9.652950
104,6, 4, 7.737076
105,6, 5, 5.082032
106,6, 6, 10.043200
107,6, 7, 10.374050
108,6, 8, 14.431309
109,6, 9, 13.776003
110,6, 10, 25.002712
111,6, 11, 16.147518
112,6, 12, 10.608055
113,6, 13, 4.999173
114,6, 14, 2.580311
115,6, 15, 3.039455
116,6, 16, 2.940866
117,6, 17, 5.209407
118,6, 18, 1.987705
119,6, 19, 3.873950
120,7, 0, 8.549324
121,7, 1, 10.827854
122,7, 2, 12.267468
123,7, 3, 12.722180
124,7, 4, 10.422905
125,7, 5, 7.328493
126,7, 6, 11.326985
127,7, 7, 13.430745
128,7, 8, 14.897780
129,7, 9, 14.265651
130,7, 10, 25.440542
131,7, 11, 17.360865
132,7, 12, 13.005844
133,7, 13, 6.327078
134,7, 14, 3.049316
135,7, 15, 4.552202
136,7, 16, 2.892291
137,7, 17, 7.249455
138,7, 18, 3.651687
139,7, 19, 7.979026
140,8, 0, 11.619581
141,8, 1, 12.269247
142,8, 2, 14.798006
143,8, 3, 14.733956
144,8, 4, 12.384489
145,8, 5, 9.236283
146,8, 6, 14.898230
147,8, 7, 14.035320
148,8, 8, 15.232978
149,8, 9, 14.777560
150,8, 10, 25.065521
151,8, 11, 18.809269
152,8, 12, 14.342360
153,8, 13, 11.692616
154,8, 14, 4.670085
155,8, 15, 7.084290
156,8, 16, 2.902243
157,8, 17, 9.537369
158,8, 18, 8.342381
159,8, 19, 10.014067
160,9, 0, 14.490705
161,9, 1, 14.314939
162,9, 2, 15.416107
163,9, 3, 18.003046
164,9, 4, 15.118666
165,9, 5, 11.930610
166,9, 6, 15.616232
167,9, 7, 14.499598
168,9, 8, 15.609230
169,9, 9, 15.705621
170,9, 10, 25.509928
171,9, 11, 19.151445
172,9, 12, 17.965330
173,9, 13, 13.661731
174,9, 14, 7.144439
175,9, 15, 9.719044
176,9, 16, 2.887129
177,9, 17, 11.600664
178,9, 18, 9.316540
179,9, 19, 12.297736
180,10, 0, 15.139829
181,10, 1, 17.340710
182,10, 2, 16.041702
183,10, 3, 20.534479
184,10, 4, 16.226891
185,10, 5, 14.696049
186,10, 6, 16.768354
187,10, 7, 15.251431
188,10, 8, 16.110483
189,10, 9, 16.319326
190,10, 10, 25.765951
191,10, 11, 19.341629
192,10, 12, 19.052002
193,10, 13, 15.082564
194,10, 14, 10.091147
195,10, 15, 12.108475
196,10, 16, 5.478225
197,10, 17, 13.068993
198,10, 18, 14.499084
199,10, 19, 12.252399
200,11, 0, 16.336761
201,11, 1, 17.998222
202,11, 2, 17.237886
203,11, 3, 20.466946
204,11, 4, 17.057409
205,11, 5, 17.354412
206,11, 6, 16.997871
207,11, 7, 15.841219
208,11, 8, 16.145527
209,11, 9, 16.331804
210,11, 10, 25.533339
211,11, 11, 19.452526
212,11, 12, 19.136576
213,11, 13, 17.086330
214,11, 14, 16.064205
215,11, 15, 12.652582
216,11, 16, 6.598215
217,11, 17, 13.081578
218,11, 18, 14.510012
219,11, 19, 13.563443
220,12, 0, 17.530951
221,12, 1, 18.301424
222,12, 2, 17.793623
223,12, 3, 20.408045
224,12, 4, 16.838772
225,12, 5, 18.513866
226,12, 6, 17.229380
227,12, 7, 15.967450
228,12, 8, 16.183729
229,12, 9, 16.746777
230,12, 10, 25.584595
231,12, 11, 19.600143
232,12, 12, 19.019701
233,12, 13, 17.826838
234,12, 14, 17.328960
235,12, 15, 12.517724
236,12, 16, 11.127597
237,12, 17, 13.059475
238,12, 18, 14.511792
239,12, 19, 14.705111
240,13, 0, 17.731405
241,13, 1, 18.425591
242,13, 2, 18.320000
243,13, 3, 20.352474
244,13, 4, 16.666618
245,13, 5, 18.401464
246,13, 6, 17.338551
247,13, 7, 16.101250
248,13, 8, 16.297224
249,13, 9, 16.681820
250,13, 10, 25.504498
251,13, 11, 19.748760
252,13, 12, 19.118132
253,13, 13, 17.868382
254,13, 14, 17.260998
255,13, 15, 12.418095
256,13, 16, 10.791224
257,13, 17, 13.055061
258,13, 18, 15.129799
259,13, 19, 14.699593
260,14, 0, 17.703945
261,14, 1, 18.447733
262,14, 2, 18.375700
263,14, 3, 20.299850
264,14, 4, 16.577805
265,14, 5, 18.254593
266,14, 6, 17.419165
267,14, 7, 16.167070
268,14, 8, 16.280127
269,14, 9, 16.636961
270,14, 10, 25.545589
271,14, 11, 19.766615
272,14, 12, 19.091335
273,14, 13, 17.896370
274,14, 14, 16.817402
275,14, 15, 12.357798
276,14, 16, 10.756087
277,14, 17, 13.060668
278,14, 18, 15.133418
279,14, 19, 14.701673
280,15, 0, 17.687639
281,15, 1, 18.682814
282,15, 2, 18.318081
283,15, 3, 20.261208
284,15, 4, 16.544071
285,15, 5, 18.170496
286,15, 6, 17.326782
287,15, 7, 16.229513
288,15, 8, 16.286842
289,15, 9, 16.551167
290,15, 10, 25.684200
291,15, 11, 19.740126
292,15, 12, 19.057270
293,15, 13, 17.912876
294,15, 14, 16.706198
295,15, 15, 12.155949
296,15, 16, 10.751878
297,15, 17, 13.071928
298,15, 18, 15.123121
299,15, 19, 14.701009
300,16, 0, 17.665035
301,16, 1, 18.693739
302,16, 2, 18.288836
303,16, 3, 20.237419
304,16, 4, 16.534058
305,16, 5, 18.106977
306,16, 6, 17.253496
307,16, 7, 16.405001
308,16, 8, 16.446264
309,16, 9, 16.660389
310,16, 10, 25.695002
311,16, 11, 19.787817
312,16, 12, 19.039139
313,16, 13, 17.905661
314,16, 14, 16.621717
315,16, 15, 12.116464
316,16, 16, 10.743919
317,16, 17, 13.070512
318,16, 18, 15.119408
319,16, 19, 14.854836
320,17, 0, 17.652807
321,17, 1, 18.851213
322,17, 2, 18.261841
323,17, 3, 20.217489
324,17, 4, 16.521141
325,17, 5, 18.069624
326,17, 6, 17.189436
327,17, 7, 16.513332
328,17, 8, 16.432049
329,17, 9, 16.761209
330,17, 10, 25.628780
331,17, 11, 19.744892
332,17, 12, 19.039675
333,17, 13, 17.904852
334,17, 14, 16.556835
335,17, 15, 11.922818
336,17, 16, 10.735097
337,17, 17, 13.061245
338,17, 18, 15.124310
339,17, 19, 14.857318
340,18, 0, 17.653620
341,18, 1, 18.846088
342,18, 2, 18.236395
343,18, 3, 20.207832
344,18, 4, 16.506762
345,18, 5, 18.055246
346,18, 6, 17.141302
347,18, 7, 16.546581
348,18, 8, 16.413412
349,18, 9, 16.881912
350,18, 10, 25.693235
351,18, 11, 19.700447
352,18, 12, 19.173574
353,18, 13, 17.907169
354,18, 14, 16.504946
355,18, 15, 11.911843
356,18, 16, 10.725651
357,18, 17, 13.046575
358,18, 18, 15.120359
