iteration,round, vertex1, vertex2, old_weight, new_weight, accepted
0,0, 1, 0, 0.000000, 0.000000, 1
1,0, 2, 0, 0.000000, 0.000000, 1
2,0, 2, 1, 0.000000, 0.000000, 1
3,0, 3, 0, 0.000000, 0.400000, 1
4,0, 3, 1, 0.000000, 0.000000, 1
5,0, 3, 2, 0.000000, 0.000000, 1
6,0, 4, 0, 0.000000, 0.000000, 1
7,0, 4, 1, 0.000000, 0.000000, 1
8,0, 4, 2, 0.000000, 0.000000, 1
9,0, 4, 3, 0.000000, 0.000000, 1
10,0, 5, 0, 0.000000, 0.100000, 1
11,0, 5, 1, 0.000000, 0.000000, 1
12,0, 5, 2, 0.000000, 0.000000, 1
13,0, 5, 3, 0.000000, 0.000000, 1
14,0, 5, 4, 0.000000, 0.000000, 1
15,0, 6, 0, 0.000000, 0.000000, 1
16,0, 6, 1, 0.000000, 0.000000, 1
17,0, 6, 2, 0.000000, 0.000000, 1
18,0, 6, 3, 0.000000, 0.000000, 1
19,0, 6, 4, 0.000000, 0.000000, 1
20,0, 6, 5, 0.000000, 0.400000, 1
21,0, 7, 0, 0.000000, 0.000000, 1
22,0, 7, 1, 0.000000, 0.000000, 1
23,0, 7, 2, 0.000000, 0.000000, 1
24,0, 7, 3, 0.000000, 0.000000, 1
25,0, 7, 4, 0.000000, 0.000000, 1
26,0, 7, 5, 0.000000, 0.400000, 1
27,0, 7, 6, 0.000000, 0.000000, 1
28,0, 8, 0, 0.000000, 0.000000, 1
29,0, 8, 1, 0.000000, 0.000000, 1
30,0, 8, 2, 0.000000, 0.000000, 1
31,0, 8, 3, 0.000000, 0.000000, 1
32,0, 8, 4, 0.000000, 0.000000, 1
33,0, 8, 5, 0.000000, 0.000000, 1
34,0, 8, 6, 0.000000, 0.100000, 1
35,0, 8, 7, 0.000000, 0.000000, 1
36,0, 9, 0, 0.000000, 0.000000, 1
37,0, 9, 1, 0.000000, 0.000000, 1
38,0, 9, 2, 0.000000, 0.000000, 1
39,0, 9, 3, 0.000000, 0.300000, 1
40,0, 9, 4, 0.000000, 0.000000, 1
41,0, 9, 5, 0.000000, 0.000000, 1
42,0, 9, 6, 0.000000, 0.000000, 1
43,0, 9, 7, 0.000000, 0.000000, 1
44,0, 9, 8, 0.000000, 0.000000, 1
45,0, 10, 0, 0.000000, 0.000000, 1
46,0, 10, 1, 0.000000, 0.000000, 1
47,0, 10, 2, 0.000000, 0.000000, 1
48,0, 10, 3, 0.000000, 0.000000, 1
49,0, 10, 4, 0.000000, 0.000000, 1
50,0, 10, 5, 0.000000, 0.000000, 1
51,0, 10, 6, 0.000000, 0.000000, 1
52,0, 10, 7, 0.000000, 0.000000, 1
53,0, 10, 8, 0.000000, 0.000000, 1
54,0, 10, 9, 0.000000, 0.000000, 1
55,0, 11, 0, 0.000000, 0.000000, 1
56,0, 11, 1, 0.000000, 0.000000, 1
57,0, 11, 2, 0.000000, 0.000000, 1
58,0, 11, 3, 0.000000, 0.000000, 1
59,0, 11, 4, 0.000000, 0.000000, 1
60,0, 11, 5, 0.000000, 0.000000, 1
61,0, 11, 6, 0.000000, 0.000000, 1
62,0, 11, 7, 0.000000, 0.000000, 1
63,0, 11, 8, 0.000000, 0.000000, 1
64,0, 11, 9, 0.000000, 0.000000, 1
65,0, 11, 10, 0.000000, 0.400000, 1
66,0, 12, 0, 0.000000, 0.000000, 1
67,0, 12, 1, 0.000000, 0.000000, 1
68,0, 12, 2, 0.000000, 0.000000, 1
69,0, 12, 3, 0.000000, 0.000000, 1
70,0, 12, 4, 0.000000, 0.000000, 1
71,0, 12, 5, 0.000000, 0.000000, 1
72,0, 12, 6, 0.000000, 0.000000, 1
73,0, 12, 7, 0.000000, 0.000000, 1
74,0, 12, 8, 0.000000, 0.000000, 1
75,0, 12, 9, 0.000000, 0.000000, 1
76,0, 12, 10, 0.000000, 0.000000, 1
77,0, 12, 11, 0.000000, 0.000000, 1
78,0, 13, 0, 0.000000, 0.000000, 1
79,0, 13, 1, 0.000000, 0.000000, 1
80,0, 13, 2, 0.000000, 0.000000, 1
81,0, 13, 3, 0.000000, 0.000000, 1
82,0, 13, 4, 0.000000, 0.000000, 1
83,0, 13, 5, 0.000000, 0.000000, 1
84,0, 13, 6, 0.000000, 0.000000, 1
85,0, 13, 7, 0.000000, 0.000000, 1
86,0, 13, 8, 0.000000, 0.400000, 1
87,0, 13, 9, 0.000000, 0.100000, 1
88,0, 13, 10, 0.000000, 0.000000, 1
89,0, 13, 11, 0.000000, 0.000000, 1
90,0, 13, 12, 0.000000, 0.000000, 1
91,0, 14, 0, 0.000000, 0.000000, 1
92,0, 14, 1, 0.000000, 0.400000, 1
93,0, 14, 2, 0.000000, 0.000000, 1
94,0, 14, 3, 0.000000, 0.100000, 1
95,0, 14, 4, 0.000000, 0.400000, 1
96,0, 14, 5, 0.000000, 0.000000, 1
97,0, 14, 6, 0.000000, 0.000000, 1
98,0, 14, 7, 0.000000, 0.000000, 1
99,0, 14, 8, 0.000000, 0.300000, 1
100,0, 14, 9, 0.000000, 0.000000, 1
101,0, 14, 10, 0.000000, 0.000000, 1
102,0, 14, 11, 0.000000, 0.000000, 1
103,0, 14, 12, 0.000000, 0.300000, 1
104,0, 14, 13, 0.000000, 0.400000, 1
105,0, 15, 0, 0.000000, 0.000000, 1
106,0, 15, 1, 0.000000, 0.000000, 1
107,0, 15, 2, 0.000000, 0.100000, 1
108,0, 15, 3, 0.000000, 0.000000, 1
109,0, 15, 4, 0.000000, 0.000000, 1
110,0, 15, 5, 0.000000, 0.000000, 1
111,0, 15, 6, 0.000000, 0.000000, 1
112,0, 15, 7, 0.000000, 0.000000, 1
113,0, 15, 8, 0.000000, 0.000000, 1
114,0, 15, 9, 0.000000, 0.200000, 1
115,0, 15, 10, 0.000000, 0.000000, 1
116,0, 15, 11, 0.000000, 0.000000, 1
117,0, 15, 12, 0.000000, 0.000000, 1
118,0, 15, 13, 0.000000, 0.000000, 1
119,0, 15, 14, 0.000000, 0.000000, 1
120,0, 16, 0, 0.000000, 0.000000, 1
121,0, 16, 1, 0.000000, 0.400000, 1
122,0, 16, 2, 0.000000, 0.000000, 1
123,0, 16, 3, 0.000000, 0.000000, 1
124,0, 16, 4, 0.000000, 0.000000, 1
125,0, 16, 5, 0.000000, 0.100000, 1
126,0, 16, 6, 0.000000, 0.000000, 1
127,0, 16, 7, 0.000000, 0.000000, 1
128,0, 16, 8, 0.000000, 0.100000, 1
129,0, 16, 9, 0.000000, 0.200000, 1
130,0, 16, 10, 0.000000, 0.000000, 1
131,0, 16, 11, 0.000000, 0.000000, 1
132,0, 16, 12, 0.000000, 0.200000, 1
133,0, 16, 13, 0.000000, 0.000000, 1
134,0, 16, 14, 0.000000, 0.100000, 1
135,0, 16, 15, 0.000000, 0.000000, 1
136,0, 17, 0, 0.000000, 0.000000, 1
137,0, 17, 1, 0.000000, 0.000000, 1
138,0, 17, 2, 0.000000, 0.000000, 1
139,0, 17, 3, 0.000000, 0.100000, 1
140,0, 17, 4, 0.000000, 0.000000, 1
141,0, 17, 5, 0.000000, 0.000000, 1
142,0, 17, 6, 0.000000, 0.000000, 1
143,0, 17, 7, 0.000000, 0.000000, 1
144,0, 17, 8, 0.000000, 0.400000, 1
145,0, 17, 9, 0.000000, 0.000000, 1
146,0, 17, 10, 0.000000, 0.000000, 1
147,0, 17, 11, 0.000000, 0.100000, 1
148,0, 17, 12, 0.000000, 0.100000, 1
149,0, 17, 13, 0.000000, 0.000000, 1
150,0, 17, 14, 0.000000, 0.000000, 1
151,0, 17, 15, 0.000000, 0.000000, 1
152,0, 17, 16, 0.000000, 0.000000, 1
153,0, 18, 0, 0.000000, 0.000000, 1
154,0, 18, 1, 0.000000, 0.000000, 1
155,0, 18, 2, 0.000000, 0.000000, 1
156,0, 18, 3, 0.000000, 0.000000, 1
157,0, 18, 4, 0.000000, 0.000000, 1
158,0, 18, 5, 0.000000, 0.000000, 1
159,0, 18, 6, 0.000000, 0.000000, 1
160,0, 18, 7, 0.000000, 0.300000, 1
161,0, 18, 8, 0.000000, 0.300000, 1
162,0, 18, 9, 0.000000, 0.200000, 1
163,0, 18, 10, 0.000000, 0.000000, 1
164,0, 18, 11, 0.000000, 0.400000, 1
165,0, 18, 12, 0.000000, 0.000000, 1
166,0, 18, 13, 0.000000, 0.000000, 1
167,0, 18, 14, 0.000000, 0.400000, 1
168,0, 18, 15, 0.000000, 0.000000, 1
169,0, 18, 16, 0.000000, 0.000000, 1
170,0, 18, 17, 0.000000, 0.000000, 1
171,0, 19, 0, 0.000000, 0.000000, 1
172,0, 19, 1, 0.000000, 0.000000, 1
173,0, 19, 2, 0.000000, 0.000000, 1
174,0, 19, 3, 0.000000, 0.200000, 1
175,0, 19, 4, 0.000000, 0.000000, 1
176,0, 19, 5, 0.000000, 0.100000, 1
177,0, 19, 6, 0.000000, 0.000000, 1
178,0, 19, 7, 0.000000, 0.000000, 1
179,0, 19, 8, 0.000000, 0.000000, 1
180,0, 19, 9, 0.000000, 0.000000, 1
181,0, 19, 10, 0.000000, 0.000000, 1
182,0, 19, 11, 0.000000, 0.400000, 1
183,0, 19, 12, 0.000000, 0.000000, 1
184,0, 19, 13, 0.000000, 0.000000, 1
185,0, 19, 14, 0.000000, 0.000000, 1
186,0, 19, 15, 0.000000, 0.000000, 1
187,0, 19, 16, 0.000000, 0.000000, 1
188,0, 19, 17, 0.000000, 0.000000, 1
189,0, 19, 18, 0.000000, 0.000000, 1
190,1, 14, 0, 0.000000, 0.000000, 0
191,1, 5, 1, 0.000000, 0.000000, 0
192,1, 9, 2, 0.000000, 0.009998, 1
193,1, 3, 0, 0.400000, 0.439827, 1
194,1, 4, 3, 0.000000, 0.049986, 1
195,1, 5, 0, 0.100000, 0.019984, 1
196,1, 14, 6, 0.000000, 0.000000, 0
197,1, 7, 0, 0.000000, 0.028022, 1
198,1, 13, 8, 0.400000, 0.249868, 1
199,1, 9, 1, 0.000000, 0.000000, 0
200,1, 11, 10, 0.400000, 0.319888, 1
201,1, 18, 11, 0.400000, 0.305910, 1
202,1, 12, 1, 0.000000, 0.000000, 0
203,1, 13, 3, 0.000000, 0.022015, 1
204,1, 14, 4, 0.400000, 0.109899, 1
205,1, 15, 3, 0.000000, 0.000000, 0
206,1, 16, 12, 0.200000, 0.149978, 1
207,1, 17, 4, 0.000000, 0.069980, 1
208,1, 18, 9, 0.200000, 0.108790, 1
209,1, 19, 14, 0.000000, 0.000000, 0
210,2, 3, 0, 0.439827, 0.527189, 1
211,2, 5, 1, 0.000000, 0.000000, 0
212,2, 3, 2, 0.000000, 0.000000, 0
213,2, 3, 0, 0.527189, 0.595717, 1
214,2, 14, 4, 0.109899, 0.000000, 0
215,2, 5, 0, 0.019984, 0.000000, 1
216,2, 14, 6, 0.000000, 0.000000, 0
217,2, 7, 0, 0.028022, 0.033258, 1
218,2, 18, 8, 0.300000, 0.180004, 1
219,2, 9, 1, 0.000000, 0.000000, 0
220,2, 11, 10, 0.319888, 0.284702, 1
221,2, 19, 11, 0.400000, 0.361763, 1
222,2, 12, 1, 0.000000, 0.000000, 0
223,2, 13, 3, 0.022015, 0.008452, 1
224,2, 14, 4, 0.109899, 0.000000, 1
225,2, 15, 3, 0.000000, 0.000000, 0
226,2, 16, 8, 0.100000, 0.029986, 1
227,2, 17, 4, 0.069980, 0.125966, 1
228,2, 18, 8, 0.180004, 0.131037, 1
229,2, 19, 14, 0.000000, 0.000000, 0
230,3, 3, 0, 0.595717, 0.649212, 1
231,3, 16, 1, 0.400000, 0.349856, 1
232,3, 3, 2, 0.000000, 0.000000, 0
233,3, 17, 3, 0.100000, 0.048450, 1
234,3, 11, 4, 0.000000, 0.000000, 0
235,3, 7, 5, 0.400000, 0.349865, 1
236,3, 14, 6, 0.000000, 0.000000, 0
237,3, 7, 0, 0.033258, 0.026748, 1
238,3, 13, 8, 0.249868, 0.177673, 1
239,3, 9, 1, 0.000000, 0.000000, 0
240,3, 11, 10, 0.284702, 0.264208, 1
241,3, 19, 11, 0.361763, 0.335336, 1
242,3, 12, 1, 0.000000, 0.000015, 1
243,3, 13, 3, 0.008452, 0.000000, 0
244,3, 14, 12, 0.300000, 0.109978, 1
245,3, 15, 3, 0.000000, 0.000000, 0
246,3, 16, 8, 0.029986, 0.000000, 1
247,3, 17, 4, 0.125966, 0.201063, 1
248,3, 18, 8, 0.131037, 0.091863, 1
249,3, 19, 14, 0.000000, 0.000000, 0
250,4, 3, 0, 0.649212, 0.686962, 1
251,4, 16, 1, 0.349856, 0.319833, 1
252,4, 3, 2, 0.000000, 0.000000, 0
253,4, 17, 3, 0.048450, 0.000000, 1
254,4, 11, 4, 0.000000, 0.000000, 0
255,4, 7, 5, 0.349865, 0.309843, 1
256,4, 14, 6, 0.000000, 0.000000, 0
257,4, 7, 0, 0.026748, 0.003992, 1
258,4, 13, 8, 0.177673, 0.133748, 1
259,4, 9, 1, 0.000000, 0.000000, 0
260,4, 11, 10, 0.264208, 0.253100, 1
261,4, 19, 11, 0.335336, 0.316434, 1
262,4, 12, 1, 0.000015, 0.026016, 1
263,4, 13, 3, 0.008452, 0.000000, 0
264,4, 14, 12, 0.109978, 0.000000, 1
265,4, 15, 3, 0.000000, 0.000000, 0
266,4, 16, 5, 0.100000, 0.076018, 1
267,4, 17, 12, 0.100000, 0.049769, 1
268,4, 18, 9, 0.108790, 0.067453, 1
269,4, 19, 14, 0.000000, 0.000000, 0
270,5, 3, 0, 0.686962, 0.702994, 1
271,5, 14, 1, 0.400000, 0.299895, 1
272,5, 3, 2, 0.000000, 0.000000, 0
273,5, 14, 3, 0.100000, 0.047694, 1
274,5, 11, 4, 0.000000, 0.000000, 0
275,5, 7, 5, 0.309843, 0.282644, 1
276,5, 14, 6, 0.000000, 0.000000, 0
277,5, 7, 0, 0.003992, 0.000000, 0
278,5, 13, 8, 0.133748, 0.098607, 1
279,5, 9, 1, 0.000000, 0.010837, 1
280,5, 11, 10, 0.253100, 0.247994, 1
281,5, 19, 11, 0.316434, 0.302342, 1
282,5, 12, 1, 0.026016, 0.074684, 1
283,5, 13, 3, 0.008452, 0.000000, 0
284,5, 18, 14, 0.400000, 0.310378, 1
285,5, 15, 1, 0.000000, 0.049990, 1
286,5, 16, 2, 0.000000, 0.020814, 1
287,5, 17, 12, 0.049769, 0.009585, 1
288,5, 18, 7, 0.300000, 0.322652, 1
289,5, 19, 14, 0.000000, 0.000000, 0
290,6, 7, 0, 0.003992, 0.000000, 1
291,6, 2, 1, 0.000000, 0.068938, 1
292,6, 5, 2, 0.000000, 0.000000, 0
293,6, 13, 3, 0.008452, 0.000000, 1
294,6, 19, 4, 0.000000, 0.059512, 1
295,6, 19, 5, 0.100000, 0.077611, 1
296,6, 14, 6, 0.000000, 0.000000, 0
297,6, 18, 7, 0.322652, 0.301568, 1
298,6, 8, 3, 0.000000, 0.019845, 1
299,6, 9, 1, 0.010837, 0.015989, 1
300,6, 11, 10, 0.247994, 0.246728, 1
301,6, 18, 11, 0.305910, 0.294892, 1
302,6, 12, 1, 0.074684, 0.088806, 1
303,6, 13, 3, 0.000000, 0.000000, 0
304,6, 14, 13, 0.400000, 0.358298, 1
305,6, 15, 14, 0.000000, 0.000000, 0
306,6, 16, 5, 0.076018, 0.052671, 1
307,6, 17, 12, 0.009585, 0.000000, 1
308,6, 18, 7, 0.301568, 0.284706, 1
309,6, 19, 3, 0.200000, 0.185876, 1
310,7, 3, 0, 0.702994, 0.684742, 1
311,7, 2, 1, 0.068938, 0.110238, 1
312,7, 5, 2, 0.000000, 0.000000, 0
313,7, 5, 3, 0.000000, 0.037395, 1
314,7, 4, 0, 0.000000, 0.000000, 0
315,7, 19, 5, 0.077611, 0.092523, 1
316,7, 14, 6, 0.000000, 0.000000, 0
317,7, 7, 3, 0.000000, 0.000000, 0
318,7, 16, 8, 0.000000, 0.000000, 0
319,7, 9, 1, 0.015989, 0.009029, 1
320,7, 11, 10, 0.246728, 0.217921, 1
321,7, 11, 10, 0.217921, 0.194876, 1
322,7, 12, 1, 0.088806, 0.073238, 1
323,7, 13, 3, 0.000000, 0.000000, 0
324,7, 14, 13, 0.358298, 0.324994, 1
325,7, 15, 14, 0.000000, 0.000000, 0
326,7, 16, 12, 0.149978, 0.121303, 1
327,7, 17, 11, 0.100000, 0.069773, 1
328,7, 18, 7, 0.284706, 0.291217, 1
329,7, 19, 3, 0.185876, 0.180748, 1
330,8, 3, 0, 0.684742, 0.698892, 1
331,8, 2, 1, 0.110238, 0.147783, 1
332,8, 5, 2, 0.000000, 0.006933, 1
333,8, 5, 3, 0.037395, 0.070463, 1
334,8, 4, 0, 0.000000, 0.000000, 0
335,8, 19, 5, 0.092523, 0.115476, 1
336,8, 14, 6, 0.000000, 0.000000, 0
337,8, 7, 2, 0.000000, 0.075210, 1
338,8, 16, 8, 0.000000, 0.000000, 0
339,8, 9, 1, 0.009029, 0.000000, 0
340,8, 11, 10, 0.194876, 0.182485, 1
341,8, 11, 3, 0.000000, 0.000000, 0
342,8, 12, 1, 0.073238, 0.053272, 1
343,8, 13, 3, 0.000000, 0.000000, 0
344,8, 14, 13, 0.324994, 0.298368, 1
345,8, 15, 1, 0.049990, 0.044017, 1
346,8, 16, 3, 0.000000, 0.000000, 0
347,8, 17, 11, 0.069773, 0.045592, 1
348,8, 18, 7, 0.291217, 0.340028, 1
349,8, 19, 3, 0.180748, 0.167203, 1
350,9, 3, 0, 0.698892, 0.703621, 1
351,9, 2, 1, 0.147783, 0.183005, 1
352,9, 5, 2, 0.006933, 0.031276, 1
353,9, 14, 3, 0.047694, 0.015911, 1
354,9, 4, 0, 0.000000, 0.000000, 0
355,9, 19, 5, 0.115476, 0.136548, 1
356,9, 14, 6, 0.000000, 0.000000, 0
357,9, 7, 1, 0.000000, 0.000000, 0
358,9, 16, 8, 0.000000, 0.000000, 0
359,9, 9, 1, 0.009029, 0.000000, 0
360,9, 11, 10, 0.182485, 0.177409, 1
361,9, 11, 3, 0.000000, 0.000000, 0
362,9, 12, 1, 0.053272, 0.031449, 1
363,9, 13, 3, 0.000000, 0.000000, 0
364,9, 14, 0, 0.000000, 0.000000, 0
365,9, 15, 1, 0.044017, 0.036559, 1
366,9, 16, 3, 0.000000, 0.000000, 0
367,9, 17, 11, 0.045592, 0.026247, 1
368,9, 18, 7, 0.340028, 0.379053, 1
369,9, 19, 3, 0.167203, 0.161777, 1
370,10, 3, 0, 0.703621, 0.704900, 1
371,10, 16, 1, 0.319833, 0.283853, 1
372,10, 5, 2, 0.031276, 0.046536, 1
373,10, 5, 3, 0.070463, 0.105866, 1
374,10, 4, 0, 0.000000, 0.000000, 0
375,10, 19, 5, 0.136548, 0.154490, 1
376,10, 14, 6, 0.000000, 0.000000, 0
377,10, 7, 1, 0.000000, 0.000000, 0
378,10, 16, 8, 0.000000, 0.000000, 0
379,10, 9, 1, 0.009029, 0.010259, 1
380,10, 11, 10, 0.177409, 0.177217, 1
381,10, 11, 3, 0.000000, 0.000000, 0
382,10, 12, 1, 0.031449, 0.022433, 1
383,10, 13, 3, 0.000000, 0.000000, 0
384,10, 14, 0, 0.000000, 0.000000, 0
385,10, 15, 1, 0.036559, 0.039347, 1
386,10, 16, 3, 0.000000, 0.000000, 0
387,10, 17, 11, 0.026247, 0.010771, 1
388,10, 18, 9, 0.067453, 0.028703, 1
389,10, 19, 3, 0.161777, 0.150100, 1
390,11, 2, 1, 0.183005, 0.225235, 1
391,11, 5, 2, 0.046536, 0.048074, 1
392,11, 5, 3, 0.105866, 0.136525, 1
393,11, 4, 0, 0.000000, 0.000000, 0
394,11, 19, 5, 0.154490, 0.171179, 1
395,11, 14, 6, 0.000000, 0.000000, 0
396,11, 7, 1, 0.000000, 0.000000, 0
397,11, 16, 8, 0.000000, 0.000000, 0
398,11, 9, 1, 0.010259, 0.004043, 1
399,11, 11, 10, 0.177217, 0.180159, 1
400,11, 11, 3, 0.000000, 0.000000, 0
401,11, 12, 1, 0.022433, 0.007460, 1
402,11, 13, 3, 0.000000, 0.000000, 0
403,11, 14, 0, 0.000000, 0.000000, 0
404,11, 15, 1, 0.039347, 0.037368, 1
405,11, 16, 3, 0.000000, 0.000000, 0
406,11, 17, 6, 0.000000, 0.017619, 1
407,11, 18, 7, 0.379053, 0.411595, 1
408,11, 19, 3, 0.150100, 0.134626, 1
409,12, 2, 1, 0.225235, 0.263651, 1
410,12, 5, 2, 0.048074, 0.039834, 1
411,12, 14, 3, 0.015911, 0.000000, 1
412,12, 4, 0, 0.000000, 0.000000, 0
413,12, 19, 5, 0.171179, 0.177628, 1
414,12, 6, 2, 0.000000, 0.068085, 1
415,12, 7, 1, 0.000000, 0.000000, 0
416,12, 16, 8, 0.000000, 0.000000, 0
417,12, 9, 1, 0.004043, 0.000000, 0
418,12, 11, 10, 0.180159, 0.202510, 1
419,12, 11, 3, 0.000000, 0.000000, 0
420,12, 12, 1, 0.007460, 0.000000, 0
421,12, 13, 3, 0.000000, 0.000000, 0
422,12, 14, 1, 0.299895, 0.228143, 1
423,12, 15, 1, 0.037368, 0.052451, 1
424,12, 16, 3, 0.000000, 0.000000, 0
425,12, 17, 5, 0.000000, 0.000000, 0
426,12, 18, 9, 0.028703, 0.000000, 1
427,12, 19, 3, 0.134626, 0.125428, 1
428,13, 2, 1, 0.263651, 0.298115, 1
429,13, 5, 2, 0.039834, 0.031952, 1
430,13, 5, 3, 0.136525, 0.160219, 1
431,13, 4, 0, 0.000000, 0.000000, 0
432,13, 19, 5, 0.177628, 0.184626, 1
433,13, 6, 2, 0.068085, 0.147234, 1
434,13, 7, 1, 0.000000, 0.000000, 0
435,13, 16, 8, 0.000000, 0.000000, 0
436,13, 9, 1, 0.004043, 0.000000, 0
437,13, 11, 10, 0.202510, 0.200393, 1
438,13, 11, 3, 0.000000, 0.000000, 0
439,13, 12, 1, 0.007460, 0.000000, 0
440,13, 13, 3, 0.000000, 0.000000, 0
441,13, 14, 13, 0.298368, 0.240966, 1
