iteration,round, vertex1, vertex2, old_weight, new_weight, accepted
0,0, 1, 0, 0.000000, 0.100000, 1
1,0, 2, 0, 0.000000, 0.000000, 1
2,0, 2, 1, 0.000000, 0.100000, 1
3,0, 3, 0, 0.000000, 0.000000, 1
4,0, 3, 1, 0.000000, 0.000000, 1
5,0, 3, 2, 0.000000, 0.100000, 1
6,0, 4, 0, 0.000000, 0.000000, 1
7,0, 4, 1, 0.000000, 0.000000, 1
8,0, 4, 2, 0.000000, 0.000000, 1
9,0, 4, 3, 0.000000, 0.100000, 1
10,0, 5, 0, 0.000000, 0.000000, 1
11,0, 5, 1, 0.000000, 0.000000, 1
12,0, 5, 2, 0.000000, 0.000000, 1
13,0, 5, 3, 0.000000, 0.000000, 1
14,0, 5, 4, 0.000000, 0.100000, 1
15,0, 6, 0, 0.000000, 0.000000, 1
16,0, 6, 1, 0.000000, 0.000000, 1
17,0, 6, 2, 0.000000, 0.000000, 1
18,0, 6, 3, 0.000000, 0.000000, 1
19,0, 6, 4, 0.000000, 0.000000, 1
20,0, 6, 5, 0.000000, 0.100000, 1
21,0, 7, 0, 0.000000, 0.500000, 1
22,0, 7, 1, 0.000000, 0.000000, 1
23,0, 7, 2, 0.000000, 0.000000, 1
24,0, 7, 3, 0.000000, 0.000000, 1
25,0, 7, 4, 0.000000, 0.000000, 1
26,0, 7, 5, 0.000000, 0.000000, 1
27,0, 7, 6, 0.000000, 0.100000, 1
28,0, 8, 0, 0.000000, 0.000000, 1
29,0, 8, 1, 0.000000, 0.500000, 1
30,0, 8, 2, 0.000000, 0.000000, 1
31,0, 8, 3, 0.000000, 0.000000, 1
32,0, 8, 4, 0.000000, 0.000000, 1
33,0, 8, 5, 0.000000, 0.000000, 1
34,0, 8, 6, 0.000000, 0.000000, 1
35,0, 8, 7, 0.000000, 0.100000, 1
36,0, 9, 0, 0.000000, 0.000000, 1
37,0, 9, 1, 0.000000, 0.000000, 1
38,0, 9, 2, 0.000000, 0.500000, 1
39,0, 9, 3, 0.000000, 0.000000, 1
40,0, 9, 4, 0.000000, 0.000000, 1
41,0, 9, 5, 0.000000, 0.000000, 1
42,0, 9, 6, 0.000000, 0.000000, 1
43,0, 9, 7, 0.000000, 0.000000, 1
44,0, 9, 8, 0.000000, 0.100000, 1
45,1, 1, 0, 0.100000, 0.000000, 1
46,1, 8, 1, 0.500000, 0.460279, 1
47,1, 3, 2, 0.100000, 0.000000, 1
48,1, 4, 3, 0.100000, 0.119233, 1
49,1, 4, 3, 0.119233, 0.162436, 1
50,1, 5, 4, 0.100000, 0.116601, 1
51,1, 8, 6, 0.000000, 0.099161, 1
52,1, 7, 1, 0.000000, 0.000000, 0
53,1, 8, 7, 0.100000, 0.199216, 1
54,1, 9, 2, 0.500000, 0.387110, 1
55,2, 7, 0, 0.500000, 0.456393, 1
56,2, 2, 1, 0.100000, 0.000000, 1
57,2, 9, 2, 0.387110, 0.315949, 1
58,2, 4, 3, 0.162436, 0.240307, 1
59,2, 4, 3, 0.240307, 0.344985, 1
60,2, 5, 4, 0.116601, 0.085914, 1
61,2, 6, 1, 0.000000, 0.000000, 0
62,2, 7, 1, 0.000000, 0.000000, 0
63,2, 8, 7, 0.199216, 0.281048, 1
64,2, 9, 2, 0.315949, 0.259946, 1
65,3, 7, 0, 0.456393, 0.408984, 1
66,3, 8, 1, 0.460279, 0.457752, 1
67,3, 9, 2, 0.259946, 0.215455, 1
68,3, 4, 3, 0.344985, 0.440406, 1
69,3, 4, 3, 0.440406, 0.521406, 1
70,3, 6, 5, 0.100000, 0.042108, 1
71,3, 6, 1, 0.000000, 0.000000, 0
72,3, 7, 1, 0.000000, 0.000000, 0
73,3, 8, 7, 0.281048, 0.351891, 1
74,3, 9, 2, 0.215455, 0.179799, 1
75,4, 7, 0, 0.408984, 0.356561, 1
76,4, 8, 1, 0.457752, 0.455470, 1
77,4, 9, 2, 0.179799, 0.150993, 1
78,4, 4, 3, 0.521406, 0.590753, 1
79,4, 5, 4, 0.085914, 0.000984, 1
80,4, 5, 3, 0.000000, 0.000000, 0
81,4, 6, 1, 0.000000, 0.000000, 0
82,4, 7, 1, 0.000000, 0.000000, 0
83,4, 8, 2, 0.000000, 0.000000, 0
84,4, 9, 8, 0.100000, 0.007140, 1
85,5, 7, 0, 0.356561, 0.297116, 1
86,5, 8, 1, 0.455470, 0.453410, 1
87,5, 9, 2, 0.150993, 0.127549, 1
88,5, 4, 3, 0.590753, 0.672553, 1
89,5, 5, 4, 0.000984, 0.000000, 1
90,5, 6, 5, 0.042108, 0.018855, 1
91,5, 6, 1, 0.000000, 0.000000, 0
92,5, 7, 1, 0.000000, 0.000000, 0
93,5, 8, 2, 0.000000, 0.000000, 0
94,5, 9, 8, 0.007140, 0.000000, 1
95,6, 7, 0, 0.297116, 0.226853, 1
96,6, 8, 1, 0.453410, 0.451596, 1
97,6, 9, 2, 0.127549, 0.108335, 1
98,6, 4, 3, 0.672553, 0.643445, 1
99,6, 4, 3, 0.643445, 0.618348, 1
100,6, 7, 5, 0.000000, 0.000000, 0
101,6, 6, 1, 0.000000, 0.000000, 0
102,6, 7, 1, 0.000000, 0.000000, 0
103,6, 8, 5, 0.000000, 0.000000, 0
104,6, 9, 2, 0.108335, 0.067751, 1
105,7, 7, 0, 0.226853, 0.136871, 1
106,7, 8, 1, 0.451596, 0.449960, 1
107,7, 9, 2, 0.067751, 0.058640, 1
108,7, 4, 3, 0.618348, 0.596752, 1
109,7, 4, 3, 0.596752, 0.578200, 1
110,7, 7, 5, 0.000000, 0.000000, 0
111,7, 6, 1, 0.000000, 0.000000, 0
112,7, 7, 1, 0.000000, 0.000000, 0
113,7, 8, 5, 0.000000, 0.000000, 0
114,7, 9, 2, 0.058640, 0.000000, 1
115,8, 7, 0, 0.136871, 0.000000, 1
116,8, 8, 1, 0.449960, 0.448484, 1
117,8, 2, 0, 0.000000, 0.000000, 1
118,8, 4, 3, 0.578200, 0.562289, 1
119,8, 4, 3, 0.562289, 0.548663, 1
120,8, 7, 5, 0.000000, 0.000000, 0
121,8, 6, 1, 0.000000, 0.000000, 0
122,8, 7, 1, 0.000000, 0.000000, 0
123,8, 8, 5, 0.000000, 0.000000, 0
124,8, 9, 0, 0.000000, 0.000000, 1
125,9, 1, 0, 0.000000, 0.000000, 1
126,9, 8, 1, 0.448484, 0.447153, 1
127,9, 2, 0, 0.000000, 0.000000, 1
128,9, 4, 3, 0.548663, 0.537007, 1
129,9, 4, 3, 0.537007, 0.527049, 1
