iteration,round, agentid, utility
0,1, 0, -0.092458
1,1, 1, -0.048455
2,1, 2, -0.019086
3,1, 3, -0.050750
4,1, 4, 0.008856
5,1, 5, -0.011103
6,1, 6, 0.010674
7,1, 7, 0.030918
8,1, 8, 0.121191
9,1, 9, -0.369455
10,2, 0, -0.091509
11,2, 1, -0.044157
12,2, 2, -0.007536
13,2, 3, -0.045939
14,2, 4, 0.006558
15,2, 5, -0.010966
16,2, 6, 0.010682
17,2, 7, 0.031518
18,2, 8, 0.129742
19,2, 9, -0.380668
20,3, 0, -0.090380
21,3, 1, -0.043708
22,3, 2, -0.003915
23,3, 3, -0.035219
24,3, 4, -0.000408
25,3, 5, -0.007689
26,3, 6, 0.013982
27,3, 7, 0.029923
28,3, 8, 0.135175
29,3, 9, -0.380483
30,4, 0, -0.095244
31,4, 1, -0.044081
32,4, 2, -0.002942
33,4, 3, -0.029971
34,4, 4, 0.006066
35,4, 5, -0.001815
36,4, 6, 0.014265
37,4, 7, 0.032281
38,4, 8, 0.131558
39,4, 9, -0.353876
40,5, 0, -0.093364
41,5, 1, -0.043588
42,5, 2, -0.002239
43,5, 3, -0.024802
44,5, 4, 0.002620
45,5, 5, -0.001110
46,5, 6, 0.015324
47,5, 7, 0.034225
48,5, 8, 0.131802
49,5, 9, -0.098000
50,6, 0, -0.090651
51,6, 1, -0.043016
52,6, 2, -0.000926
53,6, 3, -0.028288
54,6, 4, 0.005197
55,6, 5, -0.000948
56,6, 6, 0.015331
57,6, 7, 0.035252
58,6, 8, 0.132668
59,6, 9, -0.094884
60,7, 0, -0.085784
61,7, 1, -0.042189
62,7, 2, -0.000178
63,7, 3, -0.030840
64,7, 4, 0.006827
65,7, 5, -0.000166
66,7, 6, 0.015364
67,7, 7, 0.034875
68,7, 8, 0.133597
69,7, 9, -0.000135
70,8, 0, -0.000106
71,8, 1, -0.031644
72,8, 2, -0.000100
73,8, 3, -0.032760
74,8, 4, 0.007863
75,8, 5, -0.000770
76,8, 6, 0.015339
77,8, 7, -0.004803
78,8, 8, 0.134586
79,8, 9, -0.000125
80,9, 0, -0.000106
81,9, 1, -0.031509
82,9, 2, -0.000099
83,9, 3, -0.034149
84,9, 4, 0.008539
85,9, 5, -0.000721
86,9, 6, 0.015341
87,9, 7, -0.004803
88,9, 8, 0.134480
89,9, 9, -0.000124
90,10, 0, -0.000106
91,10, 1, -0.031388
92,10, 2, -0.000099
93,10, 3, -0.035145
94,10, 4, 0.008987
95,10, 5, -0.000687
96,10, 6, 0.015342
97,10, 7, -0.004803
98,10, 8, 0.134384
99,10, 9, -0.000123
100,11, 0, -0.000106
101,11, 1, -0.031278
102,11, 2, -0.000098
103,11, 3, -0.035859
